t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00006,0.00000,0.75205,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03423,0.00183,0.034232,0.01478,-1.1824,0.0000,0.9512,-0.0021,-2.0154,-0.0004,0.7969,0,0.08500,0.03000,0.0862,0.0863,0.056853,0.118397,16.2346,-0.1236,133.1404,-8.9380,-0.6137,173.2324,16.2324,0.0522,132.9188,-8.9347,0.6301,173.0819,-0.083621,-0.000339,133.1332,0.025531,-0.000134,173.2324,-0.083746,0.000711,132.9117,0.025547,0.000147,173.0819,-0.32322,0.00004,-0.00002,0.70525,-0.38059,-0.00002,-0.32322,-0.00003,0.00001,0.70525,-0.38059,0.00002,0.00137,0.00120,0.00137,0.00120,-1.68952,-0.17962,0.11845,-14.87417,-5.73717,0.04939,-1.69576,0.17388,-0.11371,-14.85593,-5.74320,-0.09615,-1.21786,-0.80978,-1.21766,-0.80979,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00008,0.00000,0.75209,1.00000,-0.00000,-0.00093,-0.00000,0.03514,0.00007,0.68457,0.68452,0.00185,0.00007,2,0.03426,0.00185,0.034261,0.01455,-1.2294,-0.0000,0.7934,-0.0019,-1.7826,-0.0004,0.7003,0,0.08500,0.03000,0.2080,0.2082,-0.049279,0.118240,13.5417,-0.1207,137.1135,17.5001,-0.1963,140.2750,13.5398,0.0573,136.8937,17.4958,0.1411,140.0568,-0.068736,-0.000362,137.1078,-0.080603,-0.000291,140.2750,-0.068832,0.000672,136.8881,-0.080713,0.000616,140.0568,-0.32320,0.00004,-0.00002,0.70517,-0.38050,-0.00002,-0.32320,-0.00003,0.00001,0.70516,-0.38050,0.00002,0.00132,0.00117,0.00132,0.00117,-1.31423,-0.18352,0.11464,-14.33970,-4.03592,0.05381,-1.32052,0.17832,-0.11112,-14.32161,-4.04186,-0.09399,-1.25224,-0.85872,-1.25234,-0.85874,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00009,0.00000,0.75212,1.00000,-0.00000,-0.00094,-0.00000,0.03512,0.00007,0.68461,0.68452,0.00186,0.00007,2,0.03429,0.00186,0.034290,0.01421,-1.2578,-0.0001,0.6566,-0.0016,-1.5841,-0.0003,0.6090,0,0.08500,0.03000,0.1747,0.1750,-0.035566,0.118205,11.2063,-0.1189,140.4996,15.1018,-0.1583,144.0783,11.2045,0.0632,140.2814,15.0998,0.1068,143.8596,-0.056677,-0.000389,140.4951,-0.066889,-0.000326,144.0783,-0.056752,0.000646,140.2769,-0.066978,0.000606,143.8596,-0.32320,0.00004,-0.00002,0.70513,-0.38045,-0.00002,-0.32320,-0.00003,0.00001,0.70512,-0.38045,0.00002,0.00127,0.00115,0.00127,0.00115,-0.99246,-0.18848,0.11229,-13.88318,-2.58159,0.05872,-0.99865,0.18412,-0.10935,-13.86523,-2.58749,-0.09286,-1.28047,-0.89988,-1.28060,-0.89989,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00011,0.00000,0.75215,1.00000,-0.00000,-0.00094,-0.00000,0.03511,0.00007,0.68464,0.68452,0.00187,0.00007,2,0.03432,0.00187,0.034317,0.01379,-1.2763,-0.0001,0.5395,-0.0014,-1.4151,-0.0002,0.5234,0,0.08500,0.03000,0.1457,0.1458,-0.024276,0.118178,9.2092,-0.1172,143.3830,12.8735,-0.1558,147.3431,9.2074,0.0686,143.1662,12.8722,0.1091,147.1262,-0.046832,-0.000411,143.3793,-0.055598,-0.000353,147.3431,-0.046891,0.000625,143.1626,-0.055668,0.000588,147.1262,-0.32322,0.00004,-0.00002,0.70513,-0.38043,-0.00002,-0.32321,-0.00003,0.00001,0.70512,-0.38043,0.00001,0.00122,0.00114,0.00122,0.00114,-0.71535,-0.19271,0.11040,-13.49116,-1.33911,0.06298,-0.72142,0.18914,-0.10783,-13.47336,-1.34501,-0.09186,-1.30371,-0.93467,-1.30380,-0.93468,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00012,0.00000,0.75217,1.00000,-0.00000,-0.00094,-0.00000,0.03510,0.00008,0.68467,0.68452,0.00188,0.00007,2,0.03434,0.00188,0.034344,0.01330,-1.2870,-0.0001,0.4400,-0.0012,-1.2708,-0.0001,0.4437,0,0.08500,0.03000,0.1214,0.1215,-0.015004,0.118157,7.5098,-0.1157,145.8449,10.9263,-0.1541,150.0919,7.5080,0.0732,145.6294,10.9249,0.1129,149.8764,-0.038730,-0.000429,145.8419,-0.046325,-0.000374,150.0919,-0.038775,0.000607,145.6263,-0.046380,0.000570,149.8764,-0.32325,0.00004,-0.00002,0.70515,-0.38043,-0.00002,-0.32324,-0.00003,0.00001,0.70515,-0.38043,0.00001,0.00117,0.00112,0.00117,0.00112,-0.47587,-0.19632,0.10884,-13.15333,-0.27670,0.06661,-0.48184,0.19341,-0.10657,-13.13564,-0.28259,-0.09101,-1.32260,-0.96409,-1.32266,-0.96409,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00013,0.00000,0.75219,1.00000,-0.00000,-0.00094,-0.00000,0.03509,0.00008,0.68469,0.68452,0.00188,0.00007,2,0.03437,0.00188,0.034370,0.01276,-1.2907,-0.0001,0.3553,-0.0011,-1.1474,-0.0001,0.3697,0,0.08500,0.03000,0.1013,0.1014,-0.007346,0.118139,6.0652,-0.1143,147.9507,9.2627,-0.1526,152.4200,6.0634,0.0773,147.7362,9.2613,0.1163,152.2058,-0.032015,-0.000445,147.9483,-0.038666,-0.000392,152.4200,-0.032050,0.000593,147.7338,-0.038709,0.000556,152.2058,-0.32329,0.00004,-0.00002,0.70520,-0.38045,-0.00001,-0.32329,-0.00003,0.00001,0.70520,-0.38045,0.00001,0.00112,0.00111,0.00112,0.00111,-0.26838,-0.19940,0.10755,-12.86129,0.63276,0.06972,-0.27426,0.19703,-0.10553,-12.84371,0.62689,-0.09029,-1.33774,-0.98891,-1.33775,-0.98891,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00014,0.00000,0.75221,1.00000,-0.00000,-0.00093,-0.00000,0.03508,0.00008,0.68472,0.68452,0.00187,0.00007,2,0.03439,0.00187,0.034395,0.01217,-1.2886,-0.0002,0.2834,-0.0009,-1.0417,0.0000,0.3011,0,0.08500,0.03000,0.0847,0.0848,-0.000979,0.118125,4.8385,-0.1130,149.7555,7.8426,-0.1511,154.3941,4.8367,0.0809,149.5419,7.8412,0.1193,154.1809,-0.026417,-0.000457,149.7535,-0.032298,-0.000406,154.3941,-0.026443,0.000581,149.5399,-0.032331,0.000544,154.1809,-0.32334,0.00004,-0.00002,0.70527,-0.38048,-0.00001,-0.32334,-0.00003,0.00001,0.70527,-0.38048,0.00000,0.00107,0.00110,0.00107,0.00110,-0.08809,-0.20203,0.10650,-12.60801,1.41227,0.07236,-0.09390,0.20010,-0.10468,-12.59051,1.40641,-0.08967,-1.34962,-1.00981,-1.34960,-1.00981,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00015,0.00000,0.75222,1.00000,-0.00000,-0.00093,-0.00000,0.03508,0.00008,0.68474,0.68452,0.00187,0.00007,2,0.03442,0.00187,0.034418,0.01157,-1.2814,-0.0002,0.2225,-0.0008,-0.9508,0.0001,0.2376,0,0.08500,0.03000,0.0708,0.0709,0.004346,0.118113,3.7980,-0.1118,151.3052,6.6314,-0.1498,156.0701,3.7961,0.0840,151.0924,6.6300,0.1219,155.8580,-0.021725,-0.000468,151.3036,-0.026971,-0.000419,156.0701,-0.021744,0.000572,151.0908,-0.026997,0.000534,155.8580,-0.32340,0.00004,-0.00002,0.70535,-0.38051,-0.00001,-0.32340,-0.00003,0.00001,0.70535,-0.38051,-0.00000,0.00101,0.00110,0.00101,0.00110,0.06902,-0.20428,0.10565,-12.38756,2.08129,0.07461,0.06326,0.20270,-0.10400,-12.37013,2.07544,-0.08916,-1.35871,-1.02738,-1.35866,-1.02737,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00016,0.00000,0.75224,1.00000,-0.00000,-0.00092,-0.00000,0.03507,0.00008,0.68475,0.68452,0.00186,0.00007,2,0.03444,0.00186,0.034440,0.01094,-1.2701,-0.0002,0.1708,-0.0007,-0.8727,0.0001,0.1790,0,0.08500,0.03000,0.0593,0.0593,0.008822,0.118102,2.9164,-0.1108,152.6388,5.5992,-0.1486,157.4953,2.9145,0.0867,152.4266,5.5979,0.1241,157.2840,-0.017774,-0.000477,152.6375,-0.022494,-0.000429,157.4953,-0.017788,0.000564,152.4254,-0.022514,0.000526,157.2840,-0.32347,0.00004,-0.00002,0.70544,-0.38055,-0.00000,-0.32347,-0.00003,0.00001,0.70544,-0.38055,-0.00001,0.00096,0.00109,0.00096,0.00109,0.20632,-0.20620,0.10498,-12.19495,2.65633,0.07653,0.20061,0.20490,-0.10345,-12.17758,2.65049,-0.08872,-1.36540,-1.04209,-1.36533,-1.04208,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00017,0.00000,0.75225,1.00000,-0.00000,-0.00092,-0.00000,0.03507,0.00008,0.68477,0.68451,0.00185,0.00007,2,0.03446,0.00185,0.034461,0.01030,-1.2552,-0.0002,0.1271,-0.0006,-0.8053,0.0001,0.1249,0,0.08500,0.03000,0.0496,0.0496,0.012601,0.118094,2.1703,-0.1099,153.7887,4.7203,-0.1475,158.7092,2.1685,0.0891,153.5771,4.7189,0.1261,158.4985,-0.014434,-0.000484,153.7878,-0.018713,-0.000438,158.7092,-0.014443,0.000557,153.5762,-0.018728,0.000519,158.4985,-0.32354,0.00004,-0.00002,0.70554,-0.38060,-0.00000,-0.32354,-0.00003,0.00002,0.70553,-0.38059,-0.00001,0.00091,0.00108,0.00091,0.00108,0.32669,-0.20783,0.10444,-12.02601,3.15138,0.07815,0.32101,0.20676,-0.10303,-12.00869,3.14554,-0.08836,-1.37006,-1.05438,-1.36996,-1.05436,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0200,-0.00018,0.00000,0.75225,1.00000,-0.00000,-0.00091,-0.00000,0.03507,0.00008,0.68478,0.68451,0.00183,0.00007,2,0.03448,0.00183,0.034481,0.00966,-1.2374,-0.0003,0.0902,-0.0005,-0.7470,0.0002,0.0751,0,0.08500,0.03000,0.0415,0.0415,0.015806,0.118086,1.5397,-0.1091,154.7825,3.9724,-0.1465,159.7453,1.5379,0.0912,154.5713,3.9710,0.1278,159.5354,-0.011598,-0.000491,154.7818,-0.015507,-0.000445,159.7453,-0.011603,0.000552,154.5707,-0.015517,0.000514,159.5354,-0.32362,0.00004,-0.00002,0.70564,-0.38064,0.00000,-0.32362,-0.00003,0.00002,0.70564,-0.38064,-0.00002,0.00085,0.00108,0.00085,0.00108,0.43253,-0.20923,0.10403,-11.87720,3.57827,0.07953,0.42688,0.20833,-0.10271,-11.85992,3.57244,-0.08807,-1.37299,-1.06459,-1.37286,-1.06457,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0220,-0.00018,0.00000,0.75226,1.00000,-0.00000,-0.00090,-0.00000,0.03507,0.00008,0.68479,0.68451,0.00182,0.00007,2,0.03450,0.00182,0.034499,0.00902,-1.2174,-0.0003,0.0590,-0.0004,-0.6966,0.0002,0.0293,0,0.08500,0.03000,0.0347,0.0347,0.018534,0.118080,1.0074,-0.1083,155.6428,3.3365,-0.1456,160.6332,1.0056,0.0931,155.4321,3.3352,0.1294,160.4238,-0.009183,-0.000496,155.6424,-0.012777,-0.000451,160.6332,-0.009185,0.000547,155.4316,-0.012784,0.000509,160.4238,-0.32370,0.00004,-0.00002,0.70574,-0.38068,0.00001,-0.32370,-0.00003,0.00002,0.70574,-0.38068,-0.00002,0.00079,0.00107,0.00079,0.00107,0.52588,-0.21042,0.10373,-11.74558,3.94704,0.08070,0.52026,0.20966,-0.10247,-11.72834,3.94122,-0.08782,-1.37446,-1.07305,-1.37432,-1.07303,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0240,-0.00019,0.00000,0.75227,1.00000,-0.00000,-0.00089,-0.00000,0.03507,0.00008,0.68480,0.68451,0.00180,0.00007,2,0.03452,0.00180,0.034516,0.00840,-1.1959,-0.0003,0.0327,-0.0004,-0.6529,0.0002,-0.0127,0,0.08500,0.03000,0.0289,0.0289,0.020865,0.118075,0.5588,-0.1077,156.3889,2.7962,-0.1448,161.3957,0.5570,0.0947,156.1785,2.7949,0.1307,161.1867,-0.007119,-0.000500,156.3887,-0.010445,-0.000456,161.3957,-0.007118,0.000544,156.1782,-0.010449,0.000506,161.1867,-0.32378,0.00004,-0.00002,0.70585,-0.38072,0.00001,-0.32378,-0.00003,0.00002,0.70584,-0.38072,-0.00002,0.00073,0.00106,0.00073,0.00106,0.60846,-0.21143,0.10350,-11.62867,4.26617,0.08168,0.60286,0.21077,-0.10231,-11.61145,4.26035,-0.08762,-1.37474,-1.08002,-1.37457,-1.07999,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
