t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r
0.0000,0.00020,0.00001,0.48034,1.00000,0.00000,-0.00126,0.00000,0.00608,-0.00000,0.31446,0.31446,0.00284,0.00445,2,0.03443,0.00284,0.034433,0.01267,-0.3115,0.0000,-0.1997,0.4165,-1.1877,-0.0000,-2.3360,0,0.04900,0.01900,0.1001,0.1001,0.002422,0.068717,-0.6671,1.3803,19.8685,0.0484,-1.9840,33.0639,-0.6566,1.3811,37.2976,0.0484,1.9840,33.0639,0.023714,-0.004949,19.8748,-0.001791,0.018998,33.0639,0.016296,-0.002956,37.2883,-0.001791,-0.018998,33.0639,-0.00064,-0.00035,-0.34820,0.70685,-0.35471,-0.00498,0.00064,0.00028,-0.34818,0.70681,-0.35469,0.00508,0.00034,-0.00039,0.00034,-0.00039,0.00213,-0.31645,0.11323,-0.13433,0.40692,0.05630,0.00091,-0.31191,0.31380,-0.60553,0.54204,0.05417,0.03074,0.00232,0.03075,0.00232,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006961,-0.000000,0.004200,0.004450,0.004200,0.000000,0.012483,-0.013351,0.000000,0.005237,0.000000,0.000000,0.365724,0.634276,0.000000,0.000000,0.000000,-0.005271,0.005271
0.0050,0.00024,0.00003,0.48037,1.00000,0.00000,-0.00112,0.00000,0.00610,0.00001,0.31452,0.31446,0.00251,0.00457,2,0.03449,0.00251,0.034494,0.01184,-0.3136,-0.0001,-0.1852,0.3906,-0.8176,-0.0206,-1.8709,0,0.04900,0.01900,0.1008,0.0748,0.027208,0.046381,-0.6188,1.2955,21.6412,-0.6763,1.0725,20.9673,-0.6089,1.2942,37.9784,-0.6776,1.5716,38.1578,0.017707,-0.003919,21.6469,0.023010,-0.003325,20.9673,0.013458,-0.002838,37.9700,0.016189,-0.003333,38.1578,-0.00062,-0.00048,-0.34885,0.70762,-0.35520,-0.00442,0.00062,0.00023,-0.34879,0.70749,-0.35513,0.00476,0.00035,-0.00037,0.00035,-0.00037,0.00187,-0.29465,0.05828,-0.25749,0.31575,0.05590,0.00067,-0.29744,0.24664,-0.70064,0.44351,0.04949,0.02287,0.00213,0.02301,0.00213,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006813,0.000362,0.004200,0.004575,0.004200,0.000124,0.012040,-0.012515,0.000000,0.004958,0.000000,0.000000,0.374134,0.625866,0.000000,0.000000,0.000000,-0.004983,0.005083
0.0100,0.00026,0.00006,0.48039,1.00000,0.00000,-0.00101,0.00000,0.00612,0.00002,0.31456,0.31446,0.00225,0.00470,2,0.03454,0.00225,0.034550,0.01072,-0.3029,-0.0001,-0.1709,0.3658,-0.5516,-0.0293,-1.5165,0,0.04900,0.01900,0.0944,0.0670,0.021747,0.046749,-0.5711,1.2139,23.0523,-0.6328,1.0911,22.2748,-0.5618,1.2113,38.3307,-0.6314,1.4105,38.4439,0.013779,-0.003232,23.0572,0.017549,-0.002960,22.2748,0.011406,-0.002700,38.3234,0.013473,-0.003053,38.4439,-0.00060,-0.00068,-0.34963,0.70872,-0.35584,-0.00367,0.00060,0.00015,-0.34952,0.70848,-0.35570,0.00437,0.00035,-0.00034,0.00036,-0.00034,0.00165,-0.27486,0.02114,-0.35429,0.25015,0.05478,0.00049,-0.28185,0.19764,-0.76991,0.37042,0.04583,0.01721,0.00194,0.01743,0.00195,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006666,0.000715,0.004200,0.004699,0.004200,0.000249,0.011599,-0.011704,0.000000,0.004686,0.000000,0.000000,0.382290,0.617710,0.000000,0.000000,0.000000,-0.004415,0.004757
0.0150,0.00028,0.00011,0.48039,1.00000,0.00001,-0.00092,0.00000,0.00613,0.00005,0.31459,0.31446,0.00202,0.00482,2,0.03458,0.00202,0.034599,0.00948,-0.2845,-0.0002,-0.1572,0.3422,-0.3620,-0.0309,-1.2436,0,0.04900,0.01900,0.0877,0.0606,0.017981,0.047022,-0.5254,1.1360,24.1910,-0.5828,1.0819,23.3685,-0.5166,1.1327,38.4495,-0.5798,1.2749,38.5317,0.011106,-0.002750,24.1951,0.013783,-0.002687,23.3685,0.009889,-0.002549,38.4433,0.011449,-0.002795,38.5317,-0.00059,-0.00093,-0.35047,0.70996,-0.35654,-0.00284,0.00059,0.00004,-0.35030,0.70959,-0.35632,0.00399,0.00036,-0.00031,0.00038,-0.00031,0.00145,-0.25656,-0.00328,-0.43111,0.20338,0.05300,0.00037,-0.26586,0.16176,-0.81990,0.31614,0.04296,0.01317,0.00177,0.01343,0.00177,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006524,0.001058,0.004200,0.004823,0.004200,0.000373,0.011172,-0.010923,0.000000,0.004425,0.000000,0.000000,0.390146,0.609854,0.000000,0.000000,0.000000,-0.003674,0.004374
0.0200,0.00029,0.00017,0.48039,1.00000,0.00001,-0.00084,0.00001,0.00614,0.00008,0.31460,0.31446,0.00184,0.00495,2,0.03462,0.00184,0.034643,0.00821,-0.2620,-0.0002,-0.1442,0.3198,-0.2284,-0.0283,-1.0308,0,0.04900,0.01900,0.0810,0.0552,0.015324,0.047241,-0.4822,1.0621,25.1231,-0.5310,1.0543,24.2985,-0.4740,1.0584,38.4026,-0.5268,1.1606,38.4823,0.009230,-0.002395,25.1263,0.011125,-0.002467,24.2985,0.008743,-0.002390,38.3975,0.009918,-0.002558,38.4823,-0.00059,-0.00121,-0.35129,0.71122,-0.35723,-0.00197,0.00059,-0.00011,-0.35107,0.71073,-0.35695,0.00366,0.00037,-0.00027,0.00039,-0.00027,0.00126,-0.23943,-0.01871,-0.49271,0.17030,0.05070,0.00029,-0.24988,0.13528,-0.85547,0.27565,0.04072,0.01030,0.00160,0.01057,0.00160,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006388,0.001391,0.004200,0.004948,0.004200,0.000497,0.010766,-0.010173,0.000000,0.004176,0.000000,0.000000,0.397688,0.602312,0.000000,0.000000,0.000000,-0.002841,0.003995
0.0250,0.00030,0.00024,0.48038,1.00000,0.00001,-0.00077,0.00001,0.00615,0.00012,0.31461,0.31446,0.00168,0.00507,2,0.03466,0.00168,0.034680,0.00699,-0.2381,-0.0003,-0.1322,0.2987,-0.1362,-0.0234,-0.8629,0,0.04900,0.01900,0.0745,0.0507,0.013417,0.047429,-0.4419,0.9922,25.8980,-0.4808,1.0144,25.1007,-0.4344,0.9883,38.2393,-0.4754,1.0637,38.3361,0.007879,-0.002125,25.9005,0.009217,-0.002277,25.1007,0.007860,-0.002229,38.2351,0.008742,-0.002341,38.3361,-0.00058,-0.00152,-0.35208,0.71243,-0.35789,-0.00110,0.00058,-0.00030,-0.35181,0.71183,-0.35753,0.00339,0.00038,-0.00024,0.00041,-0.00024,0.00109,-0.22325,-0.02789,-0.54269,0.14709,0.04806,0.00025,-0.23411,0.11546,-0.88026,0.24515,0.03894,0.00827,0.00144,0.00853,0.00145,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006261,0.001713,0.004200,0.005072,0.004200,0.000621,0.010384,-0.009454,0.000000,0.003941,0.000000,0.000000,0.404916,0.595084,0.000000,0.000000,0.000000,-0.001971,0.003660
0.0300,0.00030,0.00031,0.48037,1.00000,0.00001,-0.00071,0.00001,0.00615,0.00017,0.31461,0.31446,0.00154,0.00520,2,0.03468,0.00154,0.034712,0.00587,-0.2144,-0.0003,-0.1210,0.2788,-0.0741,-0.0176,-0.7289,0,0.04900,0.01900,0.0684,0.0468,0.012028,0.047602,-0.4046,0.9261,26.5528,-0.4346,0.9658,25.8025,-0.3976,0.9222,37.9960,-0.4285,0.9814,38.1225,0.006882,-0.001910,26.5547,0.007827,-0.002103,25.8025,0.007163,-0.002070,37.9925,0.007829,-0.002148,38.1225,-0.00058,-0.00185,-0.35282,0.71354,-0.35848,-0.00026,0.00058,-0.00053,-0.35250,0.71284,-0.35806,0.00321,0.00039,-0.00021,0.00042,-0.00021,0.00093,-0.20783,-0.03280,-0.58375,0.13087,0.04527,0.00024,-0.21870,0.10033,-0.89700,0.22184,0.03749,0.00682,0.00130,0.00707,0.00130,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006142,0.002025,0.004200,0.005196,0.004200,0.000746,0.010027,-0.008766,0.000000,0.003718,0.000000,0.000000,0.411835,0.588165,0.000000,0.000000,0.000000,-0.001104,0.003395
0.0350,0.00029,0.00040,0.48036,1.00000,0.00001,-0.00066,0.00001,0.00615,0.00023,0.31462,0.31446,0.00142,0.00532,2,0.03471,0.00142,0.034738,0.00488,-0.1923,-0.0003,-0.1107,0.2600,-0.0340,-0.0115,-0.6208,0,0.04900,0.01900,0.0627,0.0436,0.011001,0.047763,-0.3701,0.8638,27.1156,-0.3930,0.9127,26.4231,-0.3637,0.8598,37.6992,-0.3868,0.9105,37.8622,0.006127,-0.001734,27.1171,0.006799,-0.001940,26.4231,0.006600,-0.001918,37.6964,0.007110,-0.001975,37.8622,-0.00058,-0.00221,-0.35349,0.71453,-0.35899,0.00055,0.00058,-0.00080,-0.35313,0.71375,-0.35852,0.00311,0.00040,-0.00018,0.00043,-0.00018,0.00079,-0.19305,-0.03483,-0.61794,0.11955,0.04247,0.00024,-0.20371,0.08847,-0.90774,0.20361,0.03626,0.00580,0.00118,0.00602,0.00118,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006031,0.002328,0.004200,0.005321,0.004200,0.000870,0.009694,-0.008108,0.000000,0.003509,0.000000,0.000000,0.418459,0.581541,0.000000,0.000000,0.000000,-0.000260,0.003212
0.0400,0.00028,0.00049,0.48035,1.00000,0.00001,-0.00061,0.00001,0.00614,0.00029,0.31461,0.31446,0.00132,0.00544,2,0.03473,0.00132,0.034760,0.00400,-0.1722,-0.0004,-0.1011,0.2423,-0.0095,-0.0057,-0.5327,0,0.04900,0.01900,0.0574,0.0407,0.010228,0.047915,-0.3382,0.8051,27.6083,-0.3555,0.8578,26.9771,-0.3323,0.8011,37.3691,-0.3497,0.8478,37.5692,0.005541,-0.001583,27.6093,0.006024,-0.001787,26.9771,0.006132,-0.001774,37.3668,0.006532,-0.001821,37.5692,-0.00057,-0.00259,-0.35410,0.71540,-0.35942,0.00131,0.00058,-0.00109,-0.35371,0.71455,-0.35890,0.00310,0.00041,-0.00015,0.00045,-0.00015,0.00067,-0.17882,-0.03497,-0.64683,0.11156,0.03976,0.00025,-0.18918,0.07887,-0.91406,0.18895,0.03518,0.00506,0.00109,0.00525,0.00109,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005927,0.002621,0.004200,0.005445,0.004200,0.000994,0.009383,-0.007477,0.000000,0.003311,0.000000,0.000000,0.424799,0.575201,0.000000,0.000000,0.000000,0.000547,0.003113
0.0450,0.00027,0.00059,0.48034,1.00000,0.00001,-0.00057,0.00001,0.00613,0.00036,0.31461,0.31446,0.00122,0.00557,2,0.03474,0.00122,0.034778,0.00325,-0.1545,-0.0004,-0.0923,0.2256,0.0042,-0.0004,-0.4603,0,0.04900,0.01900,0.0525,0.0381,0.009633,0.048057,-0.3086,0.7497,28.0473,-0.3218,0.8029,27.4768,-0.3033,0.7459,37.0207,-0.3166,0.7911,37.2547,0.005072,-0.001450,28.0480,0.005427,-0.001643,27.4768,0.005732,-0.001639,37.0189,0.006055,-0.001683,37.2547,-0.00057,-0.00298,-0.35465,0.71614,-0.35977,0.00204,0.00058,-0.00142,-0.35424,0.71524,-0.35921,0.00316,0.00042,-0.00012,0.00046,-0.00012,0.00056,-0.16510,-0.03394,-0.67166,0.10582,0.03721,0.00026,-0.17512,0.07082,-0.91719,0.17676,0.03421,0.00452,0.00101,0.00468,0.00101,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005830,0.002905,0.004200,0.005569,0.004200,0.001119,0.009092,-0.006874,0.000000,0.003124,0.000000,0.000000,0.430866,0.569134,0.000000,0.000000,0.000000,0.001315,0.003097
