t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,0.00020,-0.00000,0.48034,1.00000,0.00000,-0.00124,-0.00000,0.00608,-0.00000,0.31445,0.31445,0.00282,-0.00000,2,0.03442,-0.00071,-0.00023,-0.34803,0.70646,-0.35455,-0.00303,0.00071,0.00023,-0.34803,0.70646,-0.35455,0.00303,0.00033,-0.00039,0.00033,-0.00039,0.00002,-0.00202,0.12198,-0.63004,0.31687,0.00117,-0.00002,0.00202,0.12198,-0.63004,0.31687,-0.00117,0.01280,0.00037,0.01280,0.00037,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,0.00025,-0.00000,0.48040,1.00000,0.00000,-0.00110,-0.00000,0.00610,-0.00000,0.31452,0.31445,0.00249,-0.00000,2,0.03448,-0.00069,-0.00026,-0.34828,0.70641,-0.35468,-0.00274,0.00069,0.00026,-0.34828,0.70641,-0.35468,0.00274,0.00031,-0.00037,0.00031,-0.00037,0.00046,0.00961,0.09501,-0.66755,0.26649,-0.00289,-0.00046,-0.00961,0.09501,-0.66755,0.26649,0.00289,0.00950,0.00065,0.00950,0.00065,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,0.00029,-0.00000,0.48046,1.00000,0.00000,-0.00097,-0.00000,0.00612,-0.00000,0.31458,0.31445,0.00219,-0.00000,2,0.03454,-0.00068,-0.00029,-0.34855,0.70643,-0.35482,-0.00240,0.00068,0.00029,-0.34855,0.70643,-0.35482,0.00240,0.00029,-0.00034,0.00029,-0.00034,0.00073,0.01678,0.07640,-0.69424,0.23061,-0.00559,-0.00073,-0.01678,0.07640,-0.69424,0.23061,0.00559,0.00740,0.00086,0.00740,0.00086,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,0.00033,-0.00000,0.48050,1.00000,0.00000,-0.00085,-0.00000,0.00613,-0.00000,0.31464,0.31444,0.00193,-0.00000,2,0.03458,-0.00068,-0.00033,-0.34883,0.70651,-0.35498,-0.00203,0.00068,0.00033,-0.34883,0.70651,-0.35498,0.00203,0.00026,-0.00031,0.00026,-0.00031,0.00087,0.02101,0.06323,-0.71328,0.20448,-0.00742,-0.00087,-0.02101,0.06323,-0.71328,0.20448,0.00742,0.00607,0.00100,0.00607,0.00100,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,0.00036,-0.00000,0.48054,1.00000,0.00000,-0.00074,-0.00000,0.00614,-0.00000,0.31469,0.31442,0.00170,-0.00000,2,0.03463,-0.00067,-0.00037,-0.34912,0.70663,-0.35513,-0.00168,0.00067,0.00037,-0.34912,0.70663,-0.35513,0.00168,0.00022,-0.00028,0.00022,-0.00028,0.00093,0.02326,0.05352,-0.72694,0.18485,-0.00868,-0.00093,-0.02326,0.05352,-0.72694,0.18485,0.00868,0.00521,0.00108,0.00521,0.00108,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,0.00038,-0.00000,0.48057,1.00000,0.00000,-0.00065,-0.00000,0.00615,-0.00000,0.31472,0.31441,0.00149,-0.00000,2,0.03466,-0.00067,-0.00040,-0.34942,0.70680,-0.35529,-0.00135,0.00067,0.00040,-0.34942,0.70680,-0.35529,0.00135,0.00018,-0.00025,0.00018,-0.00025,0.00094,0.02421,0.04594,-0.73676,0.16949,-0.00953,-0.00094,-0.02421,0.04594,-0.73676,0.16949,0.00953,0.00463,0.00111,0.00463,0.00111,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,0.00040,0.00000,0.48059,1.00000,0.00000,-0.00056,-0.00000,0.00616,-0.00000,0.31476,0.31439,0.00130,-0.00000,2,0.03469,-0.00067,-0.00043,-0.34974,0.70703,-0.35546,-0.00106,0.00067,0.00043,-0.34974,0.70703,-0.35546,0.00106,0.00014,-0.00022,0.00014,-0.00022,0.00091,0.02437,0.03969,-0.74380,0.15696,-0.01012,-0.00091,-0.02437,0.03969,-0.74380,0.15696,0.01012,0.00424,0.00111,0.00424,0.00111,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,0.00042,0.00000,0.48061,1.00000,0.00000,-0.00048,-0.00000,0.00617,0.00000,0.31478,0.31436,0.00113,-0.00000,2,0.03472,-0.00067,-0.00046,-0.35009,0.70735,-0.35565,-0.00081,0.00067,0.00046,-0.35009,0.70735,-0.35565,0.00081,0.00010,-0.00019,0.00010,-0.00019,0.00086,0.02413,0.03426,-0.74876,0.14636,-0.01055,-0.00086,-0.02413,0.03426,-0.74876,0.14636,0.01055,0.00396,0.00108,0.00396,0.00108,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,0.00043,0.00000,0.48061,1.00000,0.00000,-0.00041,-0.00000,0.00617,0.00000,0.31480,0.31433,0.00097,-0.00000,2,0.03474,-0.00067,-0.00048,-0.35048,0.70775,-0.35586,-0.00059,0.00067,0.00048,-0.35048,0.70775,-0.35586,0.00059,0.00006,-0.00016,0.00006,-0.00016,0.00081,0.02368,0.02935,-0.75217,0.13708,-0.01086,-0.00081,-0.02368,0.02935,-0.75217,0.13708,0.01086,0.00375,0.00104,0.00375,0.00104,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,0.00044,0.00000,0.48061,1.00000,0.00000,-0.00035,-0.00000,0.00618,0.00000,0.31480,0.31430,0.00083,-0.00000,2,0.03475,-0.00067,-0.00050,-0.35091,0.70827,-0.35612,-0.00041,0.00067,0.00050,-0.35091,0.70827,-0.35612,0.00041,0.00002,-0.00013,0.00002,-0.00013,0.00076,0.02317,0.02478,-0.75441,0.12876,-0.01110,-0.00076,-0.02317,0.02478,-0.75441,0.12876,0.01110,0.00359,0.00100,0.00359,0.00100,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
