t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00090,-0.00052,0.75222,0.99985,0.00085,0.00539,-0.01631,0.03335,0.00091,0.68454,0.68454,0.00919,0.00091,2,0.03667,0.00919,0.035888,0.21127,-7.4376,0.0000,1,0.08500,0.03000,0.0000,0.0000,0.000000,0.000000,90.5455,-21.1196,149.3844,0.0000,0.0000,0.0000,92.7232,-90.5937,147.9729,0.0000,0.0000,0.0000,0.085008,0.030008,150.0006,0.000000,0.000000,0.0000,0.085008,0.006735,150.0006,0.000000,0.000000,0.0000,-0.31893,0.02234,0.00695,0.71400,-0.39968,-0.01554,-0.32793,0.03217,0.02945,0.72574,-0.39534,-0.00441,0.00762,0.01604,-0.00236,0.00430,37.45809,-21.68294,2.58623,22.04139,21.90568,-3.94174,8.18859,16.51012,-19.86674,14.74374,21.08525,1.67353,-1.05344,0.67285,1.17508,2.74286,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00118,-0.00052,0.75207,0.99986,0.00086,0.00641,-0.01554,0.03314,0.00099,0.68440,0.68454,0.01076,0.00091,2,0.03658,0.01076,0.035945,0.20743,-17.0329,-0.0001,1,0.08500,0.03000,0.0000,0.0000,0.000000,0.000000,90.5420,-22.8126,149.4070,0.0000,0.0000,0.0000,92.6469,-90.9225,147.8189,0.0000,0.0000,0.0000,0.085008,0.030008,150.0007,0.000000,0.000000,0.0000,0.019606,0.030008,150.0007,0.000000,0.000000,0.0000,-0.32151,0.02210,0.00464,0.71572,-0.40055,-0.01283,-0.32931,0.03175,0.02730,0.72609,-0.39637,-0.00621,0.00839,0.01621,-0.00417,0.00529,30.22208,-21.38595,0.52575,15.67448,21.82483,-3.97308,-7.75954,14.87113,-20.19900,4.09983,11.03903,-1.76059,-2.12894,-2.64536,-1.17054,-0.13306,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00146,-0.00052,0.75189,0.99986,0.00083,0.00742,-0.01483,0.03293,0.00106,0.68424,0.68454,0.01281,0.00091,2,0.03654,0.01281,0.035939,0.16915,-16.8165,-0.0001,1,0.08500,0.03000,0.0000,0.8898,0.000000,0.000000,90.8895,-4.2885,149.4144,0.0000,0.0000,0.0000,92.5985,-90.8035,147.9223,-100.9902,238.0207,484.3012,0.085008,0.030008,150.0006,0.000000,0.000000,0.0000,0.085008,0.022451,150.0006,0.085061,-0.030051,484.3012,-0.32400,0.02212,0.00267,0.71712,-0.40312,-0.01101,-0.33073,0.03178,0.02544,0.72693,-0.40102,-0.00827,0.00916,0.01644,-0.00639,0.00816,27.43077,-32.70338,6.30910,15.45252,21.83457,-4.73510,1.36143,26.51675,-25.92973,21.78131,21.26301,-0.78091,-1.42505,-0.47379,0.44613,2.54611,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00178,-0.00052,0.75171,0.99986,0.00080,0.00841,-0.01421,0.03272,0.00114,0.68406,0.68454,0.01482,0.00091,2,0.03651,0.01482,0.035852,0.14824,-13.7454,-0.0001,1,0.08500,0.03000,0.0000,0.0000,0.000000,0.000000,90.3243,-23.2187,149.3919,0.0000,0.0000,0.0000,92.1018,-90.6528,148.3243,0.0000,0.0000,0.0000,0.085008,0.030008,150.0006,0.000000,0.000000,0.0000,0.085008,0.013647,150.0006,0.000000,0.000000,0.0000,-0.32650,0.02234,0.00101,0.71800,-0.40217,-0.00991,-0.33232,0.03219,0.02384,0.72806,-0.40364,-0.01049,0.01019,0.01651,-0.01058,0.01396,32.58672,-23.17991,1.00358,18.08297,22.05531,-4.22428,0.09547,17.11805,-21.64804,19.79805,21.31167,0.43536,-9.72349,6.78190,-8.03168,9.86281,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00211,-0.00048,0.75151,0.99986,0.00082,0.00937,-0.01366,0.03251,0.00122,0.68385,0.68454,0.01682,0.00091,2,0.03646,0.01682,0.036017,0.26161,-11.9325,-0.0000,1,0.08500,0.03000,0.0000,0.0000,0.000000,0.000000,90.5290,-22.8158,149.2349,0.0000,0.0000,0.0000,91.9416,-90.4768,148.5310,0.0000,0.0000,0.0000,0.085008,0.030008,150.0007,0.000000,0.000000,0.0000,0.085008,-0.015075,150.0007,0.000000,0.000000,0.0000,-0.32911,0.02176,-0.00126,0.72098,-0.40551,-0.01293,-0.33389,0.03238,0.02234,0.72910,-0.40583,-0.01232,0.01157,0.01652,-0.01718,0.02435,29.36102,-24.10711,1.68102,17.96156,21.95802,-4.29003,-2.25577,19.70671,-23.07669,19.49014,21.33523,4.80777,-6.49904,11.79440,-5.22633,16.72038,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00256,-0.00046,0.75124,0.99986,0.00078,0.01069,-0.01261,0.03228,0.00130,0.68365,0.68454,0.01874,0.00091,2,0.03635,0.01874,0.036299,0.33331,-21.2655,-0.0002,1,0.08500,0.03000,0.0000,0.0000,0.000000,0.000000,90.5412,-12.5708,149.4605,0.0000,0.0000,0.0000,91.8116,-90.3553,148.6854,0.0000,0.0000,0.0000,0.044909,0.030008,150.0007,0.000000,0.000000,0.0000,0.085008,0.029989,150.0007,0.000000,0.000000,0.0000,-0.33414,0.02101,-0.00405,0.72582,-0.40327,-0.01543,-0.33636,0.03240,0.02033,0.73022,-0.40767,-0.01382,0.01243,0.01619,-0.02338,0.03327,14.06700,-22.52039,1.85232,5.19147,15.62946,-4.83194,-8.11827,14.34054,-20.16511,19.14148,21.22577,-1.82730,-1.36906,-1.88714,0.83207,3.86648,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00301,-0.00041,0.75096,0.99986,0.00083,0.01201,-0.01160,0.03206,0.00137,0.68341,0.68454,0.02138,0.00091,2,0.03621,0.02138,0.036814,0.43740,-27.4528,-0.0005,1,0.08500,0.03000,0.0000,0.0000,0.000000,0.000000,91.1935,-15.1682,149.0322,0.0000,0.0000,0.0000,91.7625,-90.2333,148.7898,0.0000,0.0000,0.0000,0.085008,0.030008,150.0007,0.000000,0.000000,0.0000,0.085008,0.030008,150.0007,0.000000,0.000000,0.0000,-0.33926,0.01949,-0.00730,0.73254,-0.40533,-0.02141,-0.33884,0.03220,0.01847,0.73126,-0.40923,-0.01505,0.01311,0.01615,-0.02910,0.04130,30.83409,-22.74714,1.41006,12.27856,21.68847,-4.66369,-13.67812,13.05885,-19.87257,18.88010,21.12338,-1.78177,0.79246,-1.40583,1.72502,3.32261,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00348,-0.00035,0.75066,0.99985,0.00088,0.01325,-0.01070,0.03181,0.00144,0.68316,0.68454,0.02403,0.00091,2,0.03603,0.02403,0.037245,0.41123,-36.3717,-0.0010,0,0.08500,0.03000,0.0000,0.0000,0.000000,0.000000,91.6895,-6.3279,148.9050,0.0000,0.0000,0.0000,91.7382,-90.1431,148.8595,0.0000,0.0000,0.0000,0.085008,-0.030008,150.0007,0.000000,0.000000,0.0000,0.085008,-0.030008,150.0007,0.000000,0.000000,0.0000,-0.34409,0.01810,-0.01017,0.73867,-0.40221,-0.02638,-0.34123,0.03206,0.01682,0.73224,-0.41052,-0.01606,0.01274,0.01859,-0.03699,0.05370,27.90604,-14.14820,-2.87559,5.94193,21.55365,3.92122,-9.37402,20.29984,-24.03311,19.01394,21.38405,7.28397,-25.00127,25.00127,-25.00127,25.00127,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00401,-0.00030,0.75033,0.99985,0.00098,0.01468,-0.00949,0.03157,0.00151,0.68288,0.68454,0.02652,0.00091,2,0.03581,0.02652,0.037836,0.48168,-35.1976,-0.0014,1,0.08500,0.03000,0.0000,0.0000,0.000000,0.000000,92.6804,-8.1641,148.2918,0.0000,0.0000,0.0000,91.7377,-90.0801,148.8979,0.0000,0.0000,0.0000,0.058063,0.030008,150.0007,0.000000,0.000000,0.0000,0.085008,0.030009,150.0007,0.000000,0.000000,0.0000,-0.35033,0.01600,-0.01339,0.74635,-0.40368,-0.02869,-0.34403,0.03161,0.01492,0.73315,-0.41160,-0.01688,0.01235,0.02226,-0.04432,0.06468,27.90604,-14.14820,-2.87559,5.94193,21.55365,3.92122,-9.37402,20.29984,-24.03311,19.01394,21.38405,7.28397,-25.00127,25.00127,-25.00127,25.00127,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00454,-0.00025,0.75000,0.99983,0.00106,0.01615,-0.00846,0.03133,0.00156,0.68259,0.68454,0.02940,0.00091,2,0.03564,0.02940,0.038346,0.45016,-36.9108,-0.0020,1,0.08500,0.03000,0.0000,0.0000,0.000000,0.000000,91.2324,-91.1079,148.5828,0.0000,0.0000,0.0000,90.9340,2.1755,149.4376,0.0000,0.0000,0.0000,0.063366,0.030009,150.0007,0.000000,0.000000,0.0000,0.085008,0.030009,150.0007,0.000000,0.000000,0.0000,-0.35643,0.01427,-0.01614,0.75329,-0.40228,-0.02976,-0.34714,0.03138,0.01340,0.73452,-0.41577,-0.02013,0.01304,0.02499,-0.05134,0.07483,27.90604,-14.14820,-2.87559,5.94193,21.55365,3.92122,-9.37402,20.29984,-24.03311,19.01394,21.38405,7.28397,-25.00127,25.00127,-25.00127,25.00127,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
