t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00008,0.00000,0.75194,1.00000,-0.00000,-0.00092,-0.00000,0.03515,0.00007,0.68443,0.68443,0.00181,0.00007,2,0.03416,0.00181,0.034155,0.01639,-1.2604,0.0000,0,0.08500,0.03000,0.0847,0.0848,0.056341,0.118404,16.1147,-0.1234,133.3969,-8.9075,-0.6258,175.6901,16.1088,0.0526,133.1784,-8.9041,0.6430,175.5371,-0.084969,-0.000338,133.3882,0.025018,-0.000127,175.6901,-0.085003,0.000712,133.1697,0.025033,0.000140,175.5371,-0.32337,0.00004,-0.00002,0.70550,-0.38077,-0.00002,-0.32337,-0.00003,0.00001,0.70549,-0.38077,0.00002,0.00142,0.00123,0.00142,0.00123,-1.77213,-0.18593,0.10848,-15.12794,-5.93427,0.04923,-1.77176,0.16870,-0.12259,-15.09933,-5.92831,-0.09650,-1.49066,-0.99557,-1.50131,-0.99580,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00011,0.00000,0.75195,1.00000,-0.00000,-0.00093,-0.00000,0.03513,0.00007,0.68447,0.68443,0.00184,0.00007,2,0.03419,0.00184,0.034188,0.01673,-1.3632,-0.0000,0,0.08500,0.03000,0.3455,0.3456,0.001612,0.118625,13.1124,-0.1344,148.0507,18.1376,-0.3670,87.5011,13.1102,0.0634,147.8280,18.1357,0.3650,87.4856,-0.076108,-0.000356,148.0442,-0.029713,0.000094,87.5011,-0.076209,0.000713,147.8215,-0.029720,-0.000092,87.4856,-0.32350,0.00004,-0.00002,0.70571,-0.38080,-0.00002,-0.32349,-0.00003,0.00001,0.70570,-0.38079,0.00002,0.00136,0.00122,0.00136,0.00122,-2.02455,-0.20349,0.11831,-17.01641,-5.52205,0.05724,-2.03097,0.19510,-0.11123,-16.99808,-5.52803,-0.10738,-1.58335,-0.99508,-1.58287,-0.99507,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00014,0.00000,0.75194,1.00000,0.00000,-0.00095,-0.00001,0.03511,0.00007,0.68449,0.68443,0.00187,0.00007,2,0.03422,0.00187,0.034222,0.01678,-1.4430,-0.0001,1,0.08500,0.03000,0.3212,0.3212,0.003850,0.118627,-39.3504,89.9275,149.9840,17.5017,-0.3757,90.8304,59.7588,-89.9983,150.0286,17.4981,0.3741,90.8129,0.085002,0.030002,150.0002,-0.027475,0.000096,90.8304,0.018464,0.030002,150.0002,-0.027476,-0.000094,90.8129,-0.32371,0.00004,0.00000,0.70615,-0.38095,-0.00002,-0.32372,-0.00003,0.00003,0.70615,-0.38095,0.00003,0.00131,0.00125,0.00130,0.00123,-2.02455,-0.20349,0.11831,-17.01641,-5.52205,0.05724,-2.03097,0.19510,-0.11123,-16.99808,-5.52803,-0.10738,-1.58335,-0.99508,-1.58287,-0.99507,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00016,0.00000,0.75191,1.00000,0.00000,-0.00100,-0.00002,0.03510,0.00008,0.68448,0.68443,0.00190,0.00007,2,0.03426,0.00190,0.034255,0.01668,-1.5011,-0.0001,1,0.08500,0.03000,0.3470,0.3690,-0.000009,0.117999,-76.3530,89.6776,149.9700,20.3723,0.2890,97.8512,89.9378,-89.9986,150.0389,20.2562,1.0536,91.6190,0.085000,-0.029958,150.0002,-0.031335,-0.000532,97.8512,0.076386,-0.018878,150.0002,-0.033284,-0.000747,91.6190,-0.32392,0.00005,0.00002,0.70675,-0.38122,-0.00002,-0.32395,-0.00003,0.00005,0.70677,-0.38121,0.00003,0.00106,0.00215,0.00103,0.00211,-2.02455,-0.20349,0.11831,-17.01641,-5.52205,0.05724,-2.03097,0.19510,-0.11123,-16.99808,-5.52803,-0.10738,-1.58335,-0.99508,-1.58287,-0.99507,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00021,0.00001,0.75185,1.00000,0.00002,-0.00108,-0.00037,0.03509,0.00008,0.68446,0.68443,0.00200,0.00007,2,0.03430,0.00200,0.034290,0.01743,-1.5466,-0.0001,0,0.08500,0.03000,0.3588,0.3447,-0.001469,0.119273,-82.9936,89.9185,149.9696,20.3401,-1.0466,94.6101,89.9422,-89.9987,150.0362,20.4940,-0.2653,99.0992,-0.085002,-0.030002,150.0002,-0.032793,0.000742,94.6101,-0.085002,-0.030002,150.0002,-0.032089,0.000534,99.0992,-0.32402,0.00041,0.00068,0.70752,-0.38173,-0.00004,-0.32440,0.00036,0.00079,0.70767,-0.38144,0.00000,-0.00030,0.00409,0.00028,0.00528,-77.40191,-52.97903,22.30318,-51.42680,-12.53489,1.22048,68.66736,47.63303,-32.75482,9.26483,-2.34151,7.51803,-25.00038,-12.26797,-25.00038,25.00038,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00027,0.00002,0.75178,1.00000,0.00004,-0.00117,-0.00089,0.03509,0.00008,0.68442,0.68443,0.00216,0.00007,2,0.03434,0.00216,0.034325,0.01684,-1.6624,-0.0002,1,0.08500,0.03000,0.3959,0.0829,0.004793,0.121431,89.9353,90.0028,150.0379,24.2142,-4.1889,103.4501,-87.7405,-89.2187,149.9744,0.5349,-3.3540,68.2677,-0.013018,0.030002,150.0002,-0.026526,0.002897,103.4501,0.085002,0.030002,150.0002,-0.005601,0.002973,68.2677,-0.32412,0.00093,0.00166,0.70847,-0.38240,-0.00008,-0.32501,0.00091,0.00184,0.70880,-0.38171,-0.00003,-0.00216,0.00628,-0.00071,0.00956,-77.40191,-52.97903,22.30318,-51.42680,-12.53489,1.22048,68.66736,47.63303,-32.75482,9.26483,-2.34151,7.51803,-25.00038,-12.26797,-25.00038,25.00038,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00032,0.00003,0.75168,1.00000,0.00008,-0.00127,-0.00146,0.03509,0.00007,0.68436,0.68443,0.00235,0.00007,2,0.03438,0.00235,0.034358,0.01621,-1.6703,-0.0002,1,0.08500,0.03000,0.3193,0.3082,0.003303,0.118239,86.2121,90.0070,150.0377,18.9775,-0.3619,99.0622,-90.0162,-89.3264,149.9801,16.1369,0.6633,87.3258,-0.085002,0.030002,150.0002,-0.028012,-0.000298,99.0622,0.056353,0.030002,150.0002,-0.026236,-0.000567,87.3258,-0.32429,0.00148,0.00273,0.70959,-0.38318,-0.00011,-0.32574,0.00147,0.00297,0.71015,-0.38209,-0.00006,-0.00389,0.00861,-0.00173,0.01370,-77.40191,-52.97903,22.30318,-51.42680,-12.53489,1.22048,68.66736,47.63303,-32.75482,9.26483,-2.34151,7.51803,-25.00038,-12.26797,-25.00038,25.00038,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00038,0.00004,0.75155,1.00000,0.00012,-0.00136,-0.00204,0.03510,0.00007,0.68428,0.68443,0.00254,0.00007,2,0.03442,0.00254,0.034389,0.01562,-1.6722,-0.0002,0,0.08500,0.03000,0.3002,0.2629,0.006012,0.118505,80.8198,90.0101,150.0366,17.9682,-0.4869,99.7895,-89.9991,-89.3947,149.9852,13.2058,0.4438,83.7680,-0.085002,0.012333,150.0002,-0.025299,-0.000033,99.7895,0.076620,-0.030000,150.0002,-0.020469,-0.000242,83.7680,-0.32456,0.00200,0.00380,0.71092,-0.38405,-0.00013,-0.32658,0.00202,0.00409,0.71171,-0.38260,-0.00009,-0.00552,0.01096,-0.00273,0.01769,41.43998,-55.50559,22.64519,4.18346,-3.73198,-5.01538,-44.19526,50.65363,-35.56322,-27.86957,11.72579,7.61799,-2.41219,1.10697,0.52811,1.42713,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00044,0.00005,0.75140,1.00000,0.00017,-0.00144,-0.00265,0.03511,0.00007,0.68417,0.68443,0.00272,0.00007,2,0.03445,0.00272,0.034420,0.01492,-1.6753,-0.0003,1,0.08500,0.03000,0.2833,0.2712,0.008369,0.118877,75.4732,90.0123,150.0349,15.4803,-1.0658,91.2892,-89.9853,-89.1995,149.9894,15.1172,-0.1558,92.9154,-0.085002,0.030002,150.0002,-0.022938,0.000338,91.2892,0.064606,0.030002,150.0002,-0.021767,0.000143,92.9154,-0.32491,0.00255,0.00495,0.71242,-0.38504,-0.00016,-0.32754,0.00258,0.00528,0.71348,-0.38320,-0.00012,-0.00703,0.01343,-0.00375,0.02155,41.43998,-55.50559,22.64519,4.18346,-3.73198,-5.01538,-44.19526,50.65363,-35.56322,-27.86957,11.72579,7.61799,-2.41219,1.10697,0.52811,1.42713,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00050,0.00006,0.75123,0.99999,0.00023,-0.00152,-0.00333,0.03512,0.00007,0.68405,0.68443,0.00289,0.00007,2,0.03448,0.00289,0.034449,0.01422,-1.6680,-0.0003,1,0.08500,0.03000,0.2867,0.2371,0.007797,0.118645,70.3617,90.0141,150.0331,17.3964,-0.5333,101.1876,-89.9735,-89.2519,149.9927,11.8540,0.3136,83.3654,-0.048450,0.030002,150.0002,-0.023506,0.000106,101.1876,0.085002,0.030002,150.0002,-0.017275,0.000002,83.3654,-0.32533,0.00314,0.00623,0.71410,-0.38614,-0.00019,-0.32865,0.00318,0.00659,0.71548,-0.38391,-0.00014,-0.00837,0.01591,-0.00479,0.02515,41.43998,-55.50559,22.64519,4.18346,-3.73198,-5.01538,-44.19526,50.65363,-35.56322,-27.86957,11.72579,7.61799,-2.41219,1.10697,0.52811,1.42713,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
