t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00011,0.00000,0.75203,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03428,0.00183,0.034277,0.01500,-1.1824,0.0000,0,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,16.2346,-0.1245,134.1932,-8.9380,-0.6137,173.2324,16.2324,0.0530,133.9716,-8.9347,0.6301,173.0819,-0.084094,-0.000341,134.1860,0.025531,-0.000134,173.2324,-0.084219,0.000711,133.9644,0.025547,0.000147,173.0819,-0.32358,0.00004,-0.00002,0.70584,-0.38075,-0.00002,-0.32357,-0.00003,0.00002,0.70583,-0.38075,0.00002,0.00130,0.00124,0.00130,0.00124,-1.73367,-0.18116,0.11877,-15.10276,-5.84846,0.05000,-1.73991,0.17531,-0.11385,-15.08452,-5.85449,-0.09694,-1.24913,-0.82360,-1.24892,-0.82361,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0050,-0.00019,-0.00000,0.75193,1.00000,-0.00000,-0.00100,0.00002,0.03512,0.00007,0.68456,0.68452,0.00186,0.00007,2,0.03435,0.00186,0.034351,0.01426,-1.3199,-0.0001,1,0.08500,0.03000,0.2480,0.2480,0.009116,0.118587,-72.0611,89.9272,149.9767,16.0727,-0.4210,108.0501,89.9484,-89.9983,150.0327,16.0682,0.4191,108.0215,-0.059488,-0.028988,150.0002,-0.022208,0.000056,108.0501,-0.085000,0.029864,150.0002,-0.022209,-0.000055,108.0215,-0.32430,0.00002,-0.00007,0.70742,-0.38139,-0.00003,-0.32428,-0.00005,-0.00002,0.70741,-0.38140,0.00003,0.00080,0.00340,0.00080,0.00341,-1.73367,-0.18116,0.11877,-15.10276,-5.84846,0.05000,-1.73991,0.17531,-0.11385,-15.08452,-5.85449,-0.09694,-1.24913,-0.82360,-1.24892,-0.82361,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00023,-0.00001,0.75180,1.00000,-0.00003,-0.00155,0.00009,0.03510,0.00008,0.68449,0.68452,0.00199,0.00007,2,0.03442,0.00199,0.034418,0.01299,-1.3776,-0.0001,1,0.08500,0.03000,0.1961,0.2067,0.015185,0.118649,-84.3771,89.9684,149.9792,13.2932,-0.4764,113.0399,89.9604,-89.9990,150.0251,14.0088,0.4062,113.0264,0.085002,-0.030002,150.0002,-0.016136,0.000118,113.0399,0.053553,-0.014161,150.0002,-0.017942,-0.000029,113.0264,-0.32396,-0.00001,-0.00024,0.70926,-0.38241,-0.00005,-0.32383,-0.00007,-0.00019,0.70914,-0.38242,0.00001,-0.00261,0.01786,-0.00262,0.01789,-1.73367,-0.18116,0.11877,-15.10276,-5.84846,0.05000,-1.73991,0.17531,-0.11385,-15.08452,-5.85449,-0.09694,-1.24913,-0.82360,-1.24892,-0.82361,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0150,-0.00025,-0.00002,0.75156,1.00000,-0.00011,-0.00221,0.00039,0.03511,0.00007,0.68434,0.68452,0.00310,0.00007,2,0.03448,0.00310,0.034480,0.01169,-1.3845,-0.0002,1,0.08500,0.03000,0.3043,0.2916,0.003721,0.119223,-90.0278,90.0035,149.9819,20.1232,-1.4413,110.4805,77.8489,-88.8994,150.0180,20.4805,-0.5698,117.1027,0.074554,-0.030002,150.0002,-0.027593,0.000691,110.4805,-0.085002,-0.030002,150.0002,-0.027605,0.000567,117.1027,-0.32388,-0.00015,-0.00090,0.71212,-0.38397,-0.00011,-0.32335,-0.00020,-0.00083,0.71164,-0.38402,-0.00004,-0.00623,0.03497,-0.00593,0.03537,-1.73367,-0.18116,0.11877,-15.10276,-5.84846,0.05000,-1.73991,0.17531,-0.11385,-15.08452,-5.85449,-0.09694,-1.24913,-0.82360,-1.24892,-0.82361,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0200,-0.00030,-0.00004,0.75121,1.00000,-0.00020,-0.00291,0.00072,0.03515,0.00007,0.68407,0.68452,0.00442,0.00007,2,0.03453,0.00442,0.034534,0.01026,-1.3779,-0.0003,0,0.08500,0.03000,0.1770,0.1719,0.019109,0.119032,-90.0160,90.0118,149.9841,11.4688,-1.3642,108.7534,66.6138,-87.7287,150.0135,12.1031,-0.5348,117.4791,0.045261,0.028438,150.0002,-0.012196,0.000500,108.7534,-0.085002,-0.026192,150.0002,-0.012979,0.000479,117.4791,-0.32422,-0.00029,-0.00162,0.71594,-0.38601,-0.00015,-0.32324,-0.00034,-0.00153,0.71506,-0.38610,-0.00007,-0.01052,0.05567,-0.00982,0.05646,-47.43483,-50.33623,35.91097,-32.52751,6.95744,-7.41863,33.85756,56.09823,-22.58181,-0.42114,-4.38888,6.99664,1.48104,7.82261,-0.48183,7.73492,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0250,-0.00037,-0.00007,0.75072,0.99999,-0.00035,-0.00344,0.00136,0.03520,0.00007,0.68370,0.68452,0.00582,0.00007,2,0.03458,0.00582,0.034584,0.00955,-1.3497,-0.0003,1,0.08500,0.03000,0.1287,0.1448,0.024335,0.118400,-90.0018,90.0172,149.9875,8.7629,-0.0808,113.4812,58.1461,-88.1070,150.0098,9.6482,0.7905,111.4311,0.082231,-0.030002,150.0002,-0.006963,-0.000132,113.4812,-0.085002,-0.030002,150.0002,-0.009003,-0.000295,111.4311,-0.32579,-0.00067,-0.00300,0.72119,-0.38858,-0.00021,-0.32399,-0.00070,-0.00287,0.71962,-0.38882,-0.00011,-0.01417,0.07351,-0.01255,0.07524,-47.43483,-50.33623,35.91097,-32.52751,6.95744,-7.41863,33.85756,56.09823,-22.58181,-0.42114,-4.38888,6.99664,1.48104,7.82261,-0.48183,7.73492,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0300,-0.00048,-0.00010,0.75008,0.99999,-0.00061,-0.00384,0.00255,0.03527,0.00006,0.68322,0.68452,0.00688,0.00007,2,0.03462,0.00688,0.034638,0.01007,-1.3731,-0.0004,1,0.08500,0.03000,0.1196,0.1223,0.026083,0.118496,-90.0279,-87.2992,150.0004,7.7386,-0.8963,108.5941,49.7727,90.0005,149.9998,8.5871,-0.1610,116.9988,0.071261,-0.030002,150.0002,-0.005207,-0.000039,108.5941,-0.085002,-0.030002,150.0002,-0.006217,0.000239,116.9988,-0.32860,-0.00146,-0.00552,0.72788,-0.39155,-0.00027,-0.32530,-0.00142,-0.00526,0.72510,-0.39214,-0.00013,-0.01822,0.09072,-0.01456,0.09432,-47.43483,-50.33623,35.91097,-32.52751,6.95744,-7.41863,33.85756,56.09823,-22.58181,-0.42114,-4.38888,6.99664,1.48104,7.82261,-0.48183,7.73492,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0350,-0.00061,-0.00012,0.74934,0.99998,-0.00085,-0.00430,0.00368,0.03535,0.00006,0.68263,0.68452,0.00769,0.00007,2,0.03466,0.00769,0.034683,0.00831,-1.5006,-0.0004,0,0.08500,0.03000,0.0850,0.1056,0.029172,0.118356,-90.0323,-86.9741,150.0098,5.4989,-0.4038,108.1672,42.7642,89.9992,149.9973,7.3913,0.2472,116.7646,0.085002,0.030002,150.0002,-0.002113,-0.000191,108.1672,0.000142,-0.014760,150.0002,-0.003674,-0.000013,116.7646,-0.33163,-0.00218,-0.00787,0.73528,-0.39493,-0.00029,-0.32692,-0.00210,-0.00753,0.73140,-0.39586,-0.00015,-0.02326,0.11289,-0.01743,0.11827,-41.58282,46.84624,-18.73206,-26.01913,12.66654,-1.45335,31.66084,-43.39693,32.54328,4.77903,6.80840,-0.93159,1.92849,9.36418,1.46976,9.45668,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0400,-0.00085,-0.00009,0.74860,0.99995,-0.00147,-0.00494,0.00848,0.03544,0.00005,0.68193,0.68452,0.00860,0.00007,2,0.03480,0.00860,0.034985,0.05033,-1.4294,-0.0005,1,0.08500,0.03000,0.1108,0.1363,0.026989,0.118144,-90.0338,-88.0424,150.0136,7.6958,0.5514,116.0805,34.7876,89.9970,149.9973,9.0090,1.4538,111.5990,-0.060329,-0.030002,150.0002,-0.004291,-0.000420,116.0805,-0.085002,-0.030002,150.0002,-0.006377,-0.000640,111.5990,-0.33730,-0.00782,-0.02019,0.74578,-0.39726,-0.00003,-0.32665,-0.00722,-0.01845,0.73778,-0.40150,0.00007,-0.03515,0.14886,-0.02286,0.15481,-41.58282,46.84624,-18.73206,-26.01913,12.66654,-1.45335,31.66084,-43.39693,32.54328,4.77903,6.80840,-0.93159,1.92849,9.36418,1.46976,9.45668,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0450,-0.00105,-0.00008,0.74772,0.99990,-0.00220,-0.00537,0.01313,0.03554,0.00004,0.68122,0.68452,0.00987,0.00007,2,0.03491,0.00987,0.035001,-0.01156,-5.2740,-0.0008,0,0.08500,0.03000,0.9657,0.1079,0.116238,0.113145,-89.4084,90.3538,150.1352,-30.5891,1.6788,52.8722,17.4687,-88.3578,150.0259,7.6464,4.3701,135.9946,0.085002,0.030002,150.0002,0.085006,-0.005230,52.8722,0.085002,0.030002,150.0002,0.004520,-0.003370,135.9946,-0.34264,-0.01196,-0.02992,0.75500,-0.40104,0.00003,-0.32720,-0.01130,-0.02804,0.74475,-0.40710,0.00040,-0.04488,0.17563,-0.02566,0.18229,-35.86896,-55.52788,30.88855,-25.89707,12.82484,-7.65249,28.31153,50.81290,-20.85247,8.33870,18.00214,-1.33399,12.10674,9.10418,4.60181,6.17850,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
