rev,vy,first_swing,VX,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,SOLE_HALF_L,SOLE_HALF_W
v2base,+0.145,0,0.145,9,132,0.442,0.532,151.6,1.01,179,59,8,124.5,6.580,6.630,FELL,base,,
v2base,+0.145,1,0.145,9,136,0.421,0.549,166.3,1.00,206,53,0,0.0,6.600,6.630,FELL,base,,
v2base,+0.127,0,0.127,10,148,0.422,0.546,71.1,1.01,132,54,6,122.2,7.105,6.630,FELL,base,,
v2base,+0.127,1,0.127,12,133,0.417,0.520,165.6,1.00,198,80,6,79.4,8.260,6.630,FELL,base,,
v2base,+0.164,0,0.164,8,161,0.429,0.539,150.5,1.00,169,57,1,134.4,5.920,6.630,FELL,base,,
v2base,+0.200,0,0.2,7,296,0.429,0.533,131.6,1.01,184,37,4,35.0,5.440,6.630,FELL,base,,
v2base,+0.164,1,0.164,8,160,0.425,0.586,121.5,1.00,201,58,0,0.0,6.040,6.630,FELL,base,,
v2base,+0.200,1,0.2,7,394,0.415,0.533,106.1,1.01,181,44,9,129.1,5.460,6.630,FELL,base,,
v2base,+0.109,0,0.109,29,118,0.384,0.545,286.5,1.01,187,210,7,199.4,17.445,6.630,FELL,base,,
v2_len130,+0.109,0,0.109,17,110,0.439,0.520,71.5,1.01,156,50,0,0.0,11.010,6.630,FELL,len 130mm,0.065,
v2_len130,+0.127,0,0.127,10,159,0.435,0.521,177.3,1.00,125,48,9,42.2,7.295,6.630,FELL,len 130mm,0.065,
v2_len130,+0.109,1,0.109,16,130,0.380,0.538,174.0,1.00,205,49,4,90.1,10.680,6.630,FELL,len 130mm,0.065,
v2base,+0.091,0,0.091,40,98,0.476,0.004,5.2,1.00,71,104,0,0.0,,6.630,SURVIVED,base,,
v2base,+0.091,1,0.091,40,98,0.476,0.005,6.6,1.00,75,99,0,0.0,,6.630,SURVIVED,base,,
v2base,+0.109,1,0.109,40,98,0.476,0.029,23.2,1.00,108,274,0,0.0,,6.630,SURVIVED,base,,
v2_len130,+0.145,0,0.145,8,196,0.439,0.533,91.8,1.00,179,29,0,0.0,6.040,6.630,FELL,len 130mm,0.065,
v2_len130,+0.145,1,0.145,8,192,0.430,0.554,213.9,1.01,205,31,9,87.3,6.085,6.630,FELL,len 130mm,0.065,
v2_len130,+0.127,1,0.127,9,137,0.441,0.528,48.6,1.00,147,48,0,0.0,6.835,6.630,FELL,len 130mm,0.065,
v2_len130,+0.164,1,0.164,7,49,0.428,0.594,138.7,1.53,202,53,0,0.0,5.440,6.630,FELL,len 130mm,0.065,
v2_len130,+0.200,0,0.2,7,250,0.427,0.558,182.1,1.01,177,28,0,0.0,5.505,6.630,FELL,len 130mm,0.065,
v2_len130,+0.164,0,0.164,8,148,0.435,0.526,201.9,1.00,140,38,0,0.0,6.040,6.630,FELL,len 130mm,0.065,
v2_len130,+0.200,1,0.2,7,179,0.423,0.540,262.4,1.00,148,20,5,21.8,5.555,6.630,FELL,len 130mm,0.065,
v2_len130,+0.091,1,0.091,40,98,0.476,0.005,5.5,1.00,67,118,0,0.0,,6.630,SURVIVED,len 130mm,0.065,
v2_len130,+0.091,0,0.091,40,98,0.476,0.006,5.5,1.00,64,122,0,0.0,,6.630,SURVIVED,len 130mm,0.065,
v2_len160,+0.127,0,0.127,9,166,0.431,0.524,107.2,1.00,120,27,0,0.0,6.740,6.630,FELL,len 160mm,0.080,
v2_len160,+0.109,1,0.109,16,117,0.426,0.535,88.5,1.01,179,53,2,169.0,10.385,6.630,FELL,len 160mm,0.080,
v2_len160,+0.109,0,0.109,16,121,0.439,0.525,120.2,1.01,136,52,4,160.5,10.725,6.630,FELL,len 160mm,0.080,
v2_len160,+0.127,1,0.127,10,148,0.426,0.531,110.0,1.00,121,37,0,0.0,7.320,6.630,FELL,len 160mm,0.080,
v2_len160,+0.145,0,0.145,8,200,0.417,0.527,127.6,1.01,199,34,0,0.0,6.130,6.630,FELL,len 160mm,0.080,
v2_len160,+0.164,0,0.164,8,146,0.444,0.533,220.4,1.02,199,63,0,0.0,6.055,6.630,FELL,len 160mm,0.080,
v2_len160,+0.145,1,0.145,8,175,0.435,0.535,102.9,1.01,175,50,16,693.9,6.110,6.630,FELL,len 160mm,0.080,
v2_len160,+0.200,0,0.2,7,416,0.422,0.532,95.4,1.01,206,25,14,96.7,5.400,6.630,FELL,len 160mm,0.080,
v2_len160,+0.164,1,0.164,8,215,0.404,0.539,130.2,1.00,176,29,0,0.0,6.120,6.630,FELL,len 160mm,0.080,
v2_len160,+0.200,1,0.2,7,383,0.425,0.531,119.5,1.00,187,30,0,0.0,5.450,6.630,FELL,len 160mm,0.080,
v2_sole60,+0.127,0,0.127,9,77,0.389,0.579,375.1,1.00,207,62,0,0.0,6.440,6.630,FELL,width 60mm,,0.030
v2_len160,+0.091,1,0.091,40,97,0.476,0.007,5.7,1.00,62,194,0,0.0,,6.630,SURVIVED,len 160mm,0.080,
v2_len160,+0.091,0,0.091,40,97,0.476,0.007,5.7,1.00,67,168,0,0.0,,6.630,SURVIVED,len 160mm,0.080,
v2_sole60,+0.127,1,0.127,11,159,0.439,0.531,203.3,1.00,169,80,0,0.0,7.830,6.630,FELL,width 60mm,,0.030
v2_sole60,+0.145,0,0.145,9,142,0.442,0.525,107.4,1.00,201,42,5,131.9,6.480,6.630,FELL,width 60mm,,0.030
v2_sole60,+0.145,1,0.145,8,161,0.441,0.532,31.0,1.00,131,36,0,0.0,6.080,6.630,FELL,width 60mm,,0.030
v2_sole60,+0.164,0,0.164,8,194,0.439,0.525,56.3,1.00,185,63,0,0.0,6.005,6.630,FELL,width 60mm,,0.030
v2_sole60,+0.164,1,0.164,8,176,0.430,0.560,149.1,1.00,197,54,12,222.6,6.025,6.630,FELL,width 60mm,,0.030
v2_sole60,+0.200,0,0.2,7,371,0.401,0.527,153.1,1.00,208,60,15,323.4,5.500,6.630,FELL,width 60mm,,0.030
v2_sole60,+0.200,1,0.2,7,235,0.428,0.534,66.8,1.00,200,40,0,0.0,5.440,6.630,FELL,width 60mm,,0.030
v2_sole60,+0.091,1,0.091,40,98,0.476,0.004,5.1,1.00,59,107,0,0.0,,6.630,SURVIVED,width 60mm,,0.030
