rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived
v6,-0.022,0,5,-0,0.459,0.531,110.8,1.00,125,4,91,353.5,4.385,6.338,FELL
v6,+0.022,1,5,0,0.458,0.537,99.7,1.00,134,4,92,400.0,4.375,6.338,FELL
v6,+0.026,1,4,0,0.442,0.536,282.5,1.00,189,2,80,365.8,3.985,6.338,FELL
v6,+0.026,0,6,0,0.432,0.523,269.8,1.01,175,3,105,392.9,4.995,6.338,FELL
v6,-0.026,0,4,-0,0.436,0.536,206.7,1.00,138,4,79,366.0,3.960,6.338,FELL
v6,-0.026,1,6,-0,0.418,0.524,339.7,1.00,175,3,107,392.9,5.035,6.338,FELL
v6,-0.018,0,40,89,0.465,0.268,15.1,1.00,117,7,500,29.5,,6.338,SURVIVED
v6,+0.022,0,40,104,0.476,0.005,11.7,1.00,63,5,483,21.4,,6.338,SURVIVED
v6,+0.018,1,40,90,0.465,0.277,30.3,1.00,118,8,494,29.8,,6.338,SURVIVED
v6,+0.018,0,40,105,0.476,0.005,11.5,1.00,63,5,461,21.8,,6.338,SURVIVED
v6,-0.022,1,40,104,0.476,0.005,11.7,1.00,63,9,482,20.8,,6.338,SURVIVED
v6,-0.018,1,40,105,0.476,0.005,11.5,1.00,62,14,463,21.8,,6.338,SURVIVED
v6,+0.036,1,5,0,0.432,0.526,261.6,1.00,202,0,92,422.4,4.440,6.338,FELL
v6,-0.036,0,5,-0,0.428,0.529,257.5,1.00,206,4,100,420.8,4.470,6.338,FELL
v6,+0.045,0,4,0,0.458,0.537,105.1,1.00,145,2,75,398.2,3.820,6.338,FELL
v6,+0.045,1,5,0,0.439,0.537,180.8,1.00,202,5,113,478.0,4.385,6.338,FELL
v6,+0.030,0,40,102,0.476,0.006,11.8,1.00,63,8,542,20.4,,6.338,SURVIVED
v6,-0.045,1,4,-0,0.445,0.529,197.9,1.00,173,0,76,401.2,3.870,6.338,FELL
v6,+0.030,1,40,93,0.465,0.263,11.9,1.00,114,10,574,25.3,,6.338,SURVIVED
v6,-0.045,0,9,320,0.454,0.535,122.3,1.01,148,3,178,707.0,6.610,6.338,FELL
v6,+0.055,1,5,0,0.436,0.535,210.9,1.00,173,0,103,498.0,4.460,6.338,FELL
v6,-0.055,0,5,-0,0.448,0.537,102.6,1.00,208,0,99,380.2,4.370,6.338,FELL
v6,+0.055,0,9,-352,0.423,0.529,351.1,1.00,159,14,212,734.6,6.430,6.338,FELL
