rev,vy,first_swing,MU_GROUND,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,SOLE_HALF_W
v2base,-0.050,0,0.7,40,95,0.471,0.016,26.5,1.00,83,9,0,0.0,,6.630,SURVIVED,mu 0.7,
v2base,-0.050,1,0.7,40,100,0.470,0.016,26.3,1.00,97,21,0,0.0,,6.630,SURVIVED,mu 0.7,
v2base,+0.045,1,0.7,40,94,0.474,0.019,34.5,1.01,71,33,0,0.0,,6.630,SURVIVED,mu 0.7,
v2base,+0.050,1,0.7,40,95,0.473,0.016,32.8,1.00,70,19,0,0.0,,6.630,SURVIVED,mu 0.7,
v2base,+0.050,0,0.7,40,100,0.476,0.016,11.5,1.00,81,22,0,0.0,,6.630,SURVIVED,mu 0.7,
v2base,-0.045,1,0.7,40,101,0.476,0.010,10.2,1.00,64,26,0,0.0,,6.630,SURVIVED,mu 0.7,
v2base,+0.045,0,0.7,40,101,0.476,0.012,9.8,1.00,66,30,0,0.0,,6.630,SURVIVED,mu 0.7,
v2base,-0.045,0,0.7,40,95,0.476,0.012,10.1,1.00,64,31,0,0.0,,6.630,SURVIVED,mu 0.7,
v2base,-0.065,0,0.7,7,518,0.436,0.529,63.4,1.00,185,13,0,0.0,5.600,6.630,FELL,mu 0.7,
v2base,+0.055,1,0.7,8,158,0.431,0.547,156.1,1.00,186,24,16,265.8,6.195,6.630,FELL,mu 0.7,
v2base,+0.065,1,0.7,8,492,0.417,0.558,434.7,1.01,198,21,0,0.0,6.165,6.630,FELL,mu 0.7,
v2base,+0.065,0,0.7,9,496,0.363,0.524,471.2,1.01,192,21,5,145.5,6.840,6.630,FELL,mu 0.7,
v2base,-0.065,1,0.7,9,403,0.406,0.530,329.3,1.01,167,26,27,51.4,6.635,6.630,FELL,mu 0.7,
v2base,+0.055,0,0.7,10,130,0.451,0.534,61.1,1.01,113,18,0,0.0,7.360,6.630,FELL,mu 0.7,
v2base,-0.055,0,0.7,12,184,0.446,0.545,202.1,1.00,178,22,0,0.0,8.175,6.630,FELL,mu 0.7,
v2base,-0.055,1,0.7,17,130,0.435,0.535,164.2,1.01,206,35,20,155.0,11.180,6.630,FELL,mu 0.7,
v2base,+0.073,0,0.7,7,851,0.436,0.544,243.8,1.00,163,13,8,132.5,5.555,6.630,FELL,mu 0.7,
v2base,+0.091,0,0.7,6,0,0.454,0.523,127.5,1.00,142,34,19,51.4,5.240,6.630,FELL,mu 0.7,
v2base,+0.073,1,0.7,8,455,0.404,0.535,291.5,1.00,195,16,0,0.0,6.115,6.630,FELL,mu 0.7,
v2base,-0.073,0,0.7,8,361,0.442,0.560,227.4,1.13,196,9,2,66.9,6.170,6.630,FELL,mu 0.7,
v2base,+0.091,1,0.7,6,0,0.373,0.577,276.0,1.00,205,22,0,0.0,5.225,6.630,FELL,mu 0.7,
v2base,-0.073,1,0.7,7,131,0.445,0.567,104.8,1.01,179,29,19,83.4,5.685,6.630,FELL,mu 0.7,
v2base,-0.091,0,0.7,6,-0,0.441,0.568,215.0,1.00,198,24,11,118.6,5.100,6.630,FELL,mu 0.7,
v2base,-0.091,1,0.7,8,143,0.410,0.568,496.7,1.01,175,39,0,0.0,6.170,6.630,FELL,mu 0.7,
v2base,+0.050,1,0.8,7,180,0.439,0.530,41.0,1.00,146,10,0,0.0,5.585,6.630,FELL,mu 0.8,
v2base,-0.050,0,0.8,9,131,0.444,0.540,70.9,1.00,154,11,0,0.0,6.680,6.630,FELL,mu 0.8,
v2base,+0.055,1,0.8,11,109,0.441,0.537,42.9,1.00,186,22,0,0.0,7.795,6.630,FELL,mu 0.8,
v2base,+0.055,0,0.8,23,110,0.453,0.526,149.6,1.01,216,52,5,124.8,14.480,6.630,FELL,mu 0.8,
v2base,+0.045,0,0.8,40,101,0.476,0.010,10.4,1.00,63,45,0,0.0,,6.630,SURVIVED,mu 0.8,
v2base,+0.045,1,0.8,40,94,0.471,0.011,31.1,1.00,97,32,0,0.0,,6.630,SURVIVED,mu 0.8,
v2base,-0.045,0,0.8,40,94,0.475,0.010,19.1,1.00,88,30,0,0.0,,6.630,SURVIVED,mu 0.8,
v2base,-0.045,1,0.8,40,101,0.476,0.010,8.6,1.00,69,37,0,0.0,,6.630,SURVIVED,mu 0.8,
v2base,+0.050,0,0.8,40,100,0.476,0.016,11.2,1.00,78,31,0,0.0,,6.630,SURVIVED,mu 0.8,
v2base,-0.055,1,0.8,9,520,0.416,0.523,405.2,1.01,173,21,6,120.1,6.925,6.630,FELL,mu 0.8,
