rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived
v2base,+0.018,1,40,90,0.476,0.003,5.2,1.00,65,11,0,0.0,,6.630,SURVIVED
v2base,+0.022,1,40,91,0.476,0.003,5.2,1.00,70,10,0,0.0,,6.630,SURVIVED
v2base,+0.022,0,40,104,0.476,0.003,5.2,1.00,65,13,0,0.0,,6.630,SURVIVED
v2base,+0.018,0,40,105,0.476,0.003,5.2,1.00,64,14,0,0.0,,6.630,SURVIVED
v2base,-0.018,0,40,90,0.476,0.003,5.2,1.00,66,19,0,0.0,,6.630,SURVIVED
v2base,-0.022,0,40,91,0.476,0.003,5.2,1.00,65,20,0,0.0,,6.630,SURVIVED
v2base,-0.018,1,40,105,0.476,0.003,5.2,1.00,64,11,0,0.0,,6.630,SURVIVED
v2base,-0.022,1,40,104,0.476,0.003,5.2,1.00,67,17,0,0.0,,6.630,SURVIVED
v2base,+0.026,0,40,103,0.476,0.003,5.2,1.00,64,10,0,0.0,,6.630,SURVIVED
v2base,+0.030,1,40,93,0.476,0.003,5.2,1.00,67,7,0,0.0,,6.630,SURVIVED
v2base,-0.026,0,40,92,0.476,0.003,5.4,1.00,88,13,0,0.0,,6.630,SURVIVED
v2base,-0.026,1,40,103,0.476,0.003,5.2,1.00,71,17,0,0.0,,6.630,SURVIVED
v2base,-0.030,0,40,93,0.476,0.004,6.0,1.00,64,9,0,0.0,,6.630,SURVIVED
v2base,+0.030,0,40,102,0.476,0.003,5.2,1.00,65,15,0,0.0,,6.630,SURVIVED
v2base,-0.030,1,40,102,0.476,0.011,8.5,1.00,65,10,0,0.0,,6.630,SURVIVED
v2base,+0.026,1,40,92,0.476,0.003,5.2,1.00,71,12,0,0.0,,6.630,SURVIVED
v2base,+0.036,0,40,101,0.476,0.011,8.6,1.00,64,19,0,0.0,,6.630,SURVIVED
v2base,+0.045,1,40,94,0.474,0.019,34.5,1.01,71,33,0,0.0,,6.630,SURVIVED
v2base,-0.036,1,40,101,0.476,0.011,12.4,1.00,66,20,0,0.0,,6.630,SURVIVED
v2base,+0.036,1,40,94,0.476,0.012,8.8,1.00,67,19,0,0.0,,6.630,SURVIVED
v2base,-0.036,0,40,94,0.476,0.011,12.3,1.00,65,25,0,0.0,,6.630,SURVIVED
v2base,+0.045,0,40,101,0.476,0.012,9.8,1.00,66,30,0,0.0,,6.630,SURVIVED
