rev,vy,first_swing,SHOULDER_ROLL,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived
v6,+0.018,1,0.3,2,0,0.458,0.525,44.6,1.00,172,1,36,398.0,2.735,6.338,FELL
v6,+0.018,0,0.3,2,0,0.441,0.537,74.5,1.00,179,13,28,410.6,2.740,6.338,FELL
v6,+0.018,0,0.15,2,0,0.441,0.521,160.0,1.00,171,2,59,526.4,2.795,6.338,FELL
v6,+0.018,0,0.6,2,0,0.459,0.532,92.4,1.01,196,29,67,492.5,2.890,6.338,FELL
v6,+0.018,1,0.15,2,0,0.423,0.531,284.0,1.01,162,2,45,521.8,2.905,6.338,FELL
v6,+0.018,1,0.6,2,0,0.418,0.524,416.6,1.00,191,24,68,1114.3,3.070,6.338,FELL
v6,-0.018,0,0.3,2,-0,0.445,0.530,62.6,1.00,157,5,38,357.2,2.750,6.338,FELL
v6,-0.018,0,0.6,2,-0,0.471,0.522,143.4,1.00,205,11,52,1542.0,2.785,6.338,FELL
v6,-0.018,0,0.15,2,-0,0.425,0.525,337.0,1.01,194,5,45,493.8,2.920,6.338,FELL
v6,-0.018,1,0.15,2,-0,0.422,0.521,309.6,1.01,172,2,53,526.3,2.900,6.338,FELL
v6,-0.018,1,0.3,2,-0,0.438,0.536,118.3,1.00,180,18,52,414.7,2.790,6.338,FELL
v6,-0.018,1,0.6,2,-0,0.420,0.535,358.2,1.00,184,22,74,912.0,3.070,6.338,FELL
v6,+0.022,0,0.15,2,0,0.437,0.530,209.5,1.00,130,2,49,408.4,2.830,6.338,FELL
v6,+0.022,0,0.3,2,0,0.454,0.521,55.9,1.00,154,11,37,408.7,2.740,6.338,FELL
v6,+0.022,0,0.6,2,0,0.446,0.526,306.5,1.00,179,27,97,472.0,3.035,6.338,FELL
v6,+0.022,1,0.0,5,0,0.458,0.537,99.7,1.00,134,4,92,400.0,4.375,6.338,FELL
v6,+0.022,1,0.15,2,0,0.452,0.521,69.1,1.01,185,4,40,367.9,2.745,6.338,FELL
v6,+0.022,1,0.3,2,0,0.450,0.530,49.9,1.00,170,5,44,491.7,2.760,6.338,FELL
v6,+0.022,1,0.6,2,0,0.393,0.522,301.3,1.00,200,18,75,454.1,3.010,6.338,FELL
v6,-0.022,0,0.15,2,-0,0.434,0.521,236.4,1.00,152,0,44,515.1,2.855,6.338,FELL
v6,-0.022,0,0.0,5,-0,0.459,0.531,110.8,1.00,125,4,91,353.5,4.385,6.338,FELL
v6,-0.022,0,0.3,2,-0,0.456,0.522,41.1,1.00,170,1,35,394.7,2.740,6.338,FELL
v6,-0.022,0,0.6,3,-0,0.389,0.536,465.1,1.01,175,24,73,1140.3,3.105,6.338,FELL
v6,-0.022,1,0.15,2,-0,0.441,0.530,205.8,1.00,138,0,52,408.4,2.820,6.338,FELL
v6,-0.022,1,0.3,2,-0,0.446,0.522,47.2,1.00,167,8,43,401.1,2.745,6.338,FELL
v6,+0.018,1,0.0,40,90,0.465,0.277,30.3,1.00,118,8,494,29.8,,6.338,SURVIVED
v6,+0.018,0,0.0,40,105,0.476,0.005,11.5,1.00,63,5,461,21.8,,6.338,SURVIVED
v6,-0.022,1,0.6,2,-0,0.460,0.526,154.5,1.01,199,10,62,460.4,2.885,6.338,FELL
v6,-0.018,0,0.0,40,89,0.465,0.268,15.1,1.00,117,7,500,29.5,,6.338,SURVIVED
v6,+0.026,0,0.15,2,0,0.436,0.526,168.7,1.00,196,3,56,413.7,2.770,6.338,FELL
v6,+0.026,0,0.3,2,0,0.436,0.531,50.0,1.00,193,8,46,431.7,2.750,6.338,FELL
v6,-0.018,1,0.0,40,105,0.476,0.005,11.5,1.00,62,14,463,21.8,,6.338,SURVIVED
v6,+0.026,0,0.6,2,0,0.412,0.521,357.4,1.00,164,14,72,466.4,3.070,6.338,FELL
v6,+0.026,0,0.0,6,0,0.432,0.523,269.8,1.01,175,3,105,392.9,4.995,6.338,FELL
v6,+0.022,0,0.0,40,104,0.476,0.005,11.7,1.00,63,5,483,21.4,,6.338,SURVIVED
v6,+0.026,1,0.6,2,0,0.451,0.532,271.0,1.00,203,20,67,460.4,2.975,6.338,FELL
v6,+0.026,1,0.15,3,0,0.433,0.531,243.7,1.00,118,2,60,359.7,3.410,6.338,FELL
v6,+0.026,1,0.3,3,0,0.425,0.525,97.2,1.00,172,10,72,390.5,3.340,6.338,FELL
v6,+0.026,1,0.0,4,0,0.442,0.536,282.5,1.00,189,2,80,365.8,3.985,6.338,FELL
v6,-0.026,0,0.15,2,-0,0.438,0.531,262.6,1.00,147,0,44,500.0,2.880,6.338,FELL
v6,-0.026,0,0.0,4,-0,0.436,0.536,206.7,1.00,138,4,79,366.0,3.960,6.338,FELL
v6,-0.026,0,0.6,2,-0,0.445,0.522,323.3,1.00,157,29,70,1071.2,2.995,6.338,FELL
v6,-0.026,1,0.15,2,-0,0.449,0.526,188.4,1.00,140,0,52,415.2,2.800,6.338,FELL
v6,-0.026,0,0.3,3,-0,0.439,0.534,41.9,1.00,160,6,64,387.8,3.290,6.338,FELL
v6,-0.026,1,0.3,2,-0,0.426,0.526,121.6,1.00,161,8,52,614.6,2.765,6.338,FELL
v6,-0.026,1,0.6,2,-0,0.381,0.521,274.8,1.00,184,19,95,475.9,3.035,6.338,FELL
v6,-0.026,1,0.0,6,-0,0.418,0.524,339.7,1.00,175,3,107,392.9,5.035,6.338,FELL
v6,+0.030,0,0.3,2,0,0.440,0.528,59.3,1.00,166,12,30,425.4,2.735,6.338,FELL
v6,+0.030,0,0.15,2,0,0.431,0.532,269.9,1.00,114,3,43,424.6,2.865,6.338,FELL
v6,+0.030,0,0.6,2,0,0.434,0.521,355.4,1.00,200,20,67,1086.6,3.040,6.338,FELL
v6,+0.030,1,0.15,2,0,0.425,0.529,273.1,1.00,121,1,44,477.5,2.870,6.338,FELL
v6,+0.030,1,0.3,2,0,0.456,0.546,52.5,1.00,153,8,44,510.3,2.730,6.338,FELL
v6,-0.030,0,0.15,2,-0,0.456,0.530,150.6,1.00,118,1,41,469.3,2.775,6.338,FELL
v6,+0.030,1,0.6,3,0,0.404,0.540,392.5,1.00,169,26,78,475.1,3.150,6.338,FELL
v6,-0.030,0,0.3,2,-0,0.441,0.523,119.2,1.00,179,24,47,499.6,2.805,6.338,FELL
v6,-0.030,0,0.6,2,-0,0.423,0.531,297.6,1.01,185,30,76,1057.7,2.985,6.338,FELL
v6,-0.030,1,0.15,2,-0,0.417,0.527,276.4,1.00,133,3,50,424.3,2.875,6.338,FELL
v6,-0.022,1,0.0,40,104,0.476,0.005,11.7,1.00,63,9,482,20.8,,6.338,SURVIVED
v6,-0.030,1,0.3,2,-0,0.444,0.544,61.6,1.00,166,21,38,412.1,2.750,6.338,FELL
v6,-0.030,1,0.6,2,-0,0.430,0.525,445.1,1.01,201,25,66,1043.7,3.055,6.338,FELL
v6,+0.036,0,0.15,2,0,0.450,0.529,179.3,1.00,140,3,46,414.4,2.785,6.338,FELL
v6,+0.036,0,0.3,2,0,0.423,0.527,130.3,1.00,155,11,56,448.5,2.795,6.338,FELL
v6,+0.036,0,0.6,4,0,0.418,0.533,400.0,1.00,201,33,95,184.2,3.795,6.338,FELL
v6,+0.036,1,0.15,2,0,0.405,0.536,322.6,1.00,166,3,43,497.9,2.920,6.338,FELL
v6,+0.036,1,0.0,5,0,0.432,0.526,261.6,1.00,202,0,92,422.4,4.440,6.338,FELL
v6,+0.036,1,0.3,3,0,0.454,0.528,45.9,1.00,171,1,50,585.1,3.275,6.338,FELL
v6,+0.036,1,0.6,2,0,0.429,0.545,312.2,1.00,191,28,63,1181.8,3.035,6.338,FELL
v6,-0.036,0,0.15,2,-0,0.439,0.524,219.7,1.00,189,2,45,492.4,2.860,6.338,FELL
v6,-0.036,0,0.0,5,-0,0.428,0.529,257.5,1.00,206,4,100,420.8,4.470,6.338,FELL
v6,-0.036,0,0.3,2,-0,0.448,0.530,50.0,1.00,147,15,31,471.9,2.735,6.338,FELL
v6,+0.030,0,0.0,40,102,0.476,0.006,11.8,1.00,63,8,542,20.4,,6.338,SURVIVED
v6,-0.036,0,0.6,2,-0,0.434,0.520,365.7,1.01,198,19,61,947.1,3.040,6.338,FELL
v6,+0.030,1,0.0,40,93,0.465,0.263,11.9,1.00,114,10,574,25.3,,6.338,SURVIVED
v6,-0.036,1,0.15,2,-0,0.430,0.526,241.5,1.00,133,0,45,410.1,2.845,6.338,FELL
v6,-0.036,1,0.3,2,-0,0.441,0.537,50.4,1.00,164,6,41,428.8,2.745,6.338,FELL
v6,-0.030,0,0.0,40,93,0.465,0.263,11.8,1.00,115,6,580,25.1,,6.338,SURVIVED
v6,-0.036,1,0.6,3,-0,0.462,0.526,64.9,1.00,119,26,104,94.0,3.635,6.338,FELL
v6,+0.045,0,0.15,3,0,0.453,0.537,68.7,1.00,185,3,62,364.6,3.300,6.338,FELL
v6,+0.045,0,0.0,4,0,0.458,0.537,105.1,1.00,145,2,75,398.2,3.820,6.338,FELL
v6,+0.045,0,0.3,2,0,0.444,0.527,63.8,1.00,186,13,36,430.4,2.750,6.338,FELL
v6,+0.045,0,0.6,2,0,0.458,0.534,74.7,1.00,196,13,54,458.9,2.815,6.338,FELL
v6,-0.030,1,0.0,40,102,0.476,0.006,11.8,1.00,63,9,541,21.0,,6.338,SURVIVED
v6,+0.045,1,0.15,2,0,0.453,0.521,136.9,1.00,137,1,48,458.8,2.770,6.338,FELL
v6,+0.045,1,0.3,3,0,0.440,0.524,50.7,1.00,159,12,66,430.6,3.295,6.338,FELL
v6,+0.045,1,0.6,2,0,0.424,0.529,357.5,1.00,196,21,51,886.1,3.055,6.338,FELL
v6,+0.045,1,0.0,5,0,0.439,0.537,180.8,1.00,202,5,113,478.0,4.385,6.338,FELL
