rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,JLIM
v6,+0.022,1,5,0,0.458,0.537,99.7,1.00,134,4,92,400.0,4.375,6.338,FELL,v6,
v6,-0.022,0,5,-0,0.459,0.531,110.8,1.00,125,4,91,353.5,4.385,6.338,FELL,v6,
v6,+0.026,1,4,0,0.442,0.536,282.5,1.00,189,2,80,365.8,3.985,6.338,FELL,v6,
v6,+0.026,0,6,0,0.432,0.523,269.8,1.01,175,3,105,392.9,4.995,6.338,FELL,v6,
v6,-0.026,0,4,-0,0.436,0.536,206.7,1.00,138,4,79,366.0,3.960,6.338,FELL,v6,
v6,-0.026,1,6,-0,0.418,0.524,339.7,1.00,175,3,107,392.9,5.035,6.338,FELL,v6,
v6,-0.018,0,40,89,0.465,0.268,15.1,1.00,117,7,500,29.5,,6.338,SURVIVED,v6,
v6,+0.018,1,40,90,0.465,0.277,30.3,1.00,118,8,494,29.8,,6.338,SURVIVED,v6,
v6,+0.022,0,40,104,0.476,0.005,11.7,1.00,63,5,483,21.4,,6.338,SURVIVED,v6,
v6,-0.022,1,40,104,0.476,0.005,11.7,1.00,63,9,482,20.8,,6.338,SURVIVED,v6,
v6,+0.018,0,40,105,0.476,0.005,11.5,1.00,63,5,461,21.8,,6.338,SURVIVED,v6,
v6,-0.018,1,40,105,0.476,0.005,11.5,1.00,62,14,463,21.8,,6.338,SURVIVED,v6,
v6,+0.036,1,5,0,0.432,0.526,261.6,1.00,202,0,92,422.4,4.440,6.338,FELL,v6,
v6,-0.036,0,5,-0,0.428,0.529,257.5,1.00,206,4,100,420.8,4.470,6.338,FELL,v6,
v6,+0.045,0,4,0,0.458,0.537,105.1,1.00,145,2,75,398.2,3.820,6.338,FELL,v6,
v6,+0.045,1,5,0,0.439,0.537,180.8,1.00,202,5,113,478.0,4.385,6.338,FELL,v6,
v6,+0.030,0,40,102,0.476,0.006,11.8,1.00,63,8,542,20.4,,6.338,SURVIVED,v6,
v6,-0.045,1,4,-0,0.445,0.529,197.9,1.00,173,0,76,401.2,3.870,6.338,FELL,v6,
v6,+0.030,1,40,93,0.465,0.263,11.9,1.00,114,10,574,25.3,,6.338,SURVIVED,v6,
v6,-0.045,0,9,320,0.454,0.535,122.3,1.01,148,3,178,707.0,6.610,6.338,FELL,v6,
v6,+0.055,1,5,0,0.436,0.535,210.9,1.00,173,0,103,498.0,4.460,6.338,FELL,v6,
v6,-0.055,0,5,-0,0.448,0.537,102.6,1.00,208,0,99,380.2,4.370,6.338,FELL,v6,
v6,+0.055,0,9,-352,0.423,0.529,351.1,1.00,159,14,212,734.6,6.430,6.338,FELL,v6,
v6,-0.055,1,9,-347,0.411,0.522,378.9,1.00,146,9,167,423.6,6.405,6.338,FELL,v6,
v6,-0.030,0,40,93,0.465,0.263,11.8,1.00,115,6,580,25.1,,6.338,SURVIVED,v6,
v6,-0.030,1,40,102,0.476,0.006,11.8,1.00,63,9,541,21.0,,6.338,SURVIVED,v6,
v6,+0.036,0,40,101,0.476,0.005,11.5,1.00,62,9,682,21.5,,6.338,SURVIVED,v6,
v6,-0.036,1,40,101,0.476,0.005,11.5,1.00,62,6,681,21.5,,6.338,SURVIVED,v6,
v6noadd,-0.022,1,40,93,0.465,0.523,59.9,1.01,152,18,84,389.5,24.895,6.338,FELL,v6noadd,
v6noadd,+0.022,1,40,181,0.418,0.545,444.1,1.01,169,32,60,149.1,25.320,6.338,FELL,v6noadd,
v6noadd,+0.018,1,40,160,0.435,0.531,282.6,1.01,142,32,62,114.2,25.455,6.338,FELL,v6noadd,
v6noadd,-0.018,1,40,105,0.465,0.291,21.0,1.00,116,9,0,0.0,,6.338,SURVIVED,v6noadd,
v6noadd,+0.018,0,40,105,0.465,0.290,21.3,1.00,116,7,0,0.0,,6.338,SURVIVED,v6noadd,
v6noadd,+0.022,0,40,103,0.465,0.274,15.5,1.00,117,9,0,0.0,,6.338,SURVIVED,v6noadd,
v6noadd,-0.022,0,40,89,0.461,0.334,76.9,1.01,116,10,18,135.9,,6.338,SURVIVED,v6noadd,
v6noadd,-0.018,0,40,71,0.429,0.481,427.7,1.01,198,17,73,153.9,,6.338,SURVIVED,v6noadd,
v6noadd,+0.026,0,40,103,0.465,0.271,14.2,1.01,115,13,0,0.0,,6.338,SURVIVED,v6noadd,
v6noadd,+0.026,1,40,93,0.461,0.321,72.3,1.01,115,5,17,96.1,,6.338,SURVIVED,v6noadd,
v6noadd,-0.030,0,40,158,0.414,0.528,435.8,1.00,196,27,79,209.4,25.385,6.338,FELL,v6noadd,
v6noadd,-0.026,0,40,94,0.459,0.323,73.1,1.00,114,7,13,72.6,,6.338,SURVIVED,v6noadd,
v6noadd,-0.030,1,40,101,0.465,0.290,33.1,1.01,118,10,0,0.0,,6.338,SURVIVED,v6noadd,
v6noadd,-0.026,1,40,103,0.464,0.281,14.1,1.00,116,8,0,0.0,,6.338,SURVIVED,v6noadd,
v6noadd,+0.030,1,40,93,0.462,0.325,77.1,1.00,115,6,25,65.3,,6.338,SURVIVED,v6noadd,
v6noadd,+0.030,0,40,102,0.464,0.295,17.8,1.00,118,14,0,0.0,,6.338,SURVIVED,v6noadd,
v6noadd,+0.036,0,40,62,0.426,0.533,312.1,1.01,201,19,42,200.7,24.950,6.338,FELL,v6noadd,
v6noadd,+0.036,1,40,161,0.396,0.540,545.1,1.01,180,30,72,137.7,25.275,6.338,FELL,v6noadd,
v6noadd,-0.036,0,40,143,0.412,0.539,451.1,1.01,204,31,49,145.3,25.225,6.338,FELL,v6noadd,
v6noadd,-0.036,1,40,102,0.462,0.314,74.5,1.01,120,14,12,51.0,,6.338,SURVIVED,v6noadd,
v6noadd,+0.045,0,40,100,0.464,0.303,66.7,1.00,121,13,6,16.1,,6.338,SURVIVED,v6noadd,
v6noadd,+0.045,1,40,95,0.463,0.311,27.5,1.00,112,11,0,0.0,,6.338,SURVIVED,v6noadd,
v6noadd,-0.045,0,40,95,0.463,0.292,28.9,1.00,112,5,8,0.0,,6.338,SURVIVED,v6noadd,
v6noadd,-0.045,1,40,100,0.476,0.006,8.5,1.00,65,4,0,0.0,,6.338,SURVIVED,v6noadd,
v6noadd,+0.055,0,18,140,0.458,0.529,143.9,1.00,149,20,63,449.8,11.840,6.338,FELL,v6noadd,
v6noadd,-0.055,1,16,138,0.459,0.529,96.7,1.00,180,14,44,475.7,10.525,6.338,FELL,v6noadd,
v6noadd,+0.055,1,21,130,0.460,0.526,178.2,1.00,136,14,38,536.4,13.320,6.338,FELL,v6noadd,
v6noadd,-0.055,0,21,109,0.443,0.525,109.6,1.01,166,18,38,466.9,13.370,6.338,FELL,v6noadd,
v6,+0.018,0,0,0,0.299,0.372,153.8,83.17,193,50,22,431.5,0.415,6.338,FELL,v6 +jlim,1
v6,+0.018,1,0,0,0.463,0.530,100.0,53.49,204,62,0,0.0,0.335,6.338,FELL,v6 +jlim,1
v6,-0.018,0,0,-0,0.319,0.521,173.5,30.87,198,69,13,418.5,0.445,6.338,FELL,v6 +jlim,1
v6,-0.018,1,0,-0,0.378,0.535,225.5,47.86,205,168,11,55.5,1.115,6.338,FELL,v6 +jlim,1
v6,+0.022,0,0,0,0.364,0.523,198.8,39.19,211,71,8,51.3,0.500,6.338,FELL,v6 +jlim,1
