rev,vy,first_swing,SOLE_HALF_W,ARM_HOLD,ARM_HOLD_JOINTS,KP_ARM,KD_ARM,ARM_PITCH,ELBOW,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond
v6_rec_box,-0.026,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,93,0.476,0.002,10.5,1.00,57,16,0,0.0,,6.862,SURVIVED,v6_rec_box guard
v6_rec_box,-0.026,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,102,0.476,0.002,10.5,1.00,56,11,0,0.0,,6.862,SURVIVED,v6_rec_box guard
v6_rec_box,+0.026,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,102,0.476,0.002,10.5,1.00,56,6,0,0.0,,6.862,SURVIVED,v6_rec_box guard
v6_rec_box,-0.018,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,105,0.476,0.002,10.5,1.00,56,18,0,0.0,,6.862,SURVIVED,v6_rec_box guard
v6_rec_box,+0.018,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,105,0.476,0.002,10.5,1.00,56,18,0,0.0,,6.862,SURVIVED,v6_rec_box guard
v6_rec_box,+0.018,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,91,0.476,0.002,10.5,1.00,57,15,0,0.0,,6.862,SURVIVED,v6_rec_box guard
v6_rec_box,-0.018,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,91,0.476,0.002,10.5,1.00,57,12,0,0.0,,6.862,SURVIVED,v6_rec_box guard
v6_rec_box,+0.026,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,93,0.476,0.002,10.5,1.00,57,9,0,0.0,,6.862,SURVIVED,v6_rec_box guard
v6_rec_box,+0.045,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.476,0.002,10.5,1.00,57,10,0,0.0,,6.862,SURVIVED,v6_rec_box guard
v6_rec_box,+0.045,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.476,0.002,10.5,1.00,56,5,0,0.0,,6.862,SURVIVED,v6_rec_box guard
v6_rec_box,-0.045,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.476,0.002,10.5,1.00,57,13,0,0.0,,6.862,SURVIVED,v6_rec_box guard
