rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,TORQUE_SCALE,MU_GROUND,ARM_HOLD,KP_ARM,KD_ARM,SOLE_HALF_W
v2base,+0.050,1,40,95,0.473,0.016,32.8,1.00,70,19,0,0.0,,6.630,SURVIVED,base,,,,,,
v2base,-0.050,1,40,100,0.470,0.016,26.3,1.00,97,21,0,0.0,,6.630,SURVIVED,base,,,,,,
v2base,+0.045,1,40,94,0.474,0.019,34.5,1.01,71,33,0,0.0,,6.630,SURVIVED,base,,,,,,
v2base,-0.050,0,40,95,0.471,0.016,26.5,1.00,83,9,0,0.0,,6.630,SURVIVED,base,,,,,,
v2base,-0.045,1,40,101,0.476,0.010,10.2,1.00,64,26,0,0.0,,6.630,SURVIVED,base,,,,,,
v2base,+0.045,0,40,101,0.476,0.012,9.8,1.00,66,30,0,0.0,,6.630,SURVIVED,base,,,,,,
v2base,+0.050,0,40,100,0.476,0.016,11.5,1.00,81,22,0,0.0,,6.630,SURVIVED,base,,,,,,
v2base,-0.045,0,40,95,0.476,0.012,10.1,1.00,64,31,0,0.0,,6.630,SURVIVED,base,,,,,,
v2base,-0.065,0,7,518,0.436,0.529,63.4,1.00,185,13,0,0.0,5.600,6.630,FELL,base,,,,,,
v2base,+0.055,1,8,158,0.431,0.547,156.1,1.00,186,24,16,265.8,6.195,6.630,FELL,base,,,,,,
v2base,+0.065,1,8,492,0.417,0.558,434.7,1.01,198,21,0,0.0,6.165,6.630,FELL,base,,,,,,
v2base,+0.065,0,9,496,0.363,0.524,471.2,1.01,192,21,5,145.5,6.840,6.630,FELL,base,,,,,,
v2base,-0.065,1,9,403,0.406,0.530,329.3,1.01,167,26,27,51.4,6.635,6.630,FELL,base,,,,,,
v2base,+0.055,0,10,130,0.451,0.534,61.1,1.01,113,18,0,0.0,7.360,6.630,FELL,base,,,,,,
v2base,-0.055,0,12,184,0.446,0.545,202.1,1.00,178,22,0,0.0,8.175,6.630,FELL,base,,,,,,
v2base,-0.055,1,17,130,0.435,0.535,164.2,1.01,206,35,20,155.0,11.180,6.630,FELL,base,,,,,,
v2base,+0.073,0,7,851,0.436,0.544,243.8,1.00,163,13,8,132.5,5.555,6.630,FELL,base,,,,,,
v2base,+0.091,0,6,0,0.454,0.523,127.5,1.00,142,34,19,51.4,5.240,6.630,FELL,base,,,,,,
v2base,+0.073,1,8,455,0.404,0.535,291.5,1.00,195,16,0,0.0,6.115,6.630,FELL,base,,,,,,
v2base,-0.073,0,8,361,0.442,0.560,227.4,1.13,196,9,2,66.9,6.170,6.630,FELL,base,,,,,,
v2base,+0.091,1,6,0,0.373,0.577,276.0,1.00,205,22,0,0.0,5.225,6.630,FELL,base,,,,,,
v2base,-0.073,1,7,131,0.445,0.567,104.8,1.01,179,29,19,83.4,5.685,6.630,FELL,base,,,,,,
v2base,-0.091,0,6,-0,0.441,0.568,215.0,1.00,198,24,11,118.6,5.100,6.630,FELL,base,,,,,,
v2base,-0.091,1,8,143,0.410,0.568,496.7,1.01,175,39,0,0.0,6.170,6.630,FELL,base,,,,,,
v2base,+0.050,0,8,150,0.450,0.528,214.5,1.01,120,24,16,120.8,6.145,6.630,FELL,torque x5,5,,,,,
v2base,-0.045,0,9,154,0.453,0.526,68.9,1.01,183,27,14,33.8,6.575,6.630,FELL,torque x5,5,,,,,
v2base,+0.050,1,17,94,0.429,0.547,315.9,1.01,197,47,7,3.0,10.830,6.630,FELL,torque x5,5,,,,,
v2base,-0.050,1,8,120,0.443,0.524,117.2,1.01,159,21,20,106.7,6.215,6.630,FELL,torque x5,5,,,,,
v2base,-0.050,0,16,158,0.379,0.523,292.3,1.01,147,12,1,91.1,10.475,6.630,FELL,torque x5,5,,,,,
v2base,+0.055,1,9,84,0.441,0.541,250.6,1.00,123,31,7,31.1,6.920,6.630,FELL,torque x5,5,,,,,
v2base,+0.055,0,11,178,0.441,0.524,267.4,1.01,152,21,13,179.7,7.840,6.630,FELL,torque x5,5,,,,,
v2base,+0.065,0,8,363,0.439,0.535,191.2,1.01,154,24,21,18.4,5.985,6.630,FELL,torque x5,5,,,,,
v2base,-0.055,1,11,126,0.445,0.526,108.0,1.00,172,39,13,346.1,7.780,6.630,FELL,torque x5,5,,,,,
v2base,-0.055,0,12,206,0.431,0.540,243.0,1.01,166,16,11,69.7,8.185,6.630,FELL,torque x5,5,,,,,
v2base,+0.065,1,8,517,0.295,0.418,342.0,1.01,145,19,6,96.2,6.115,6.630,FELL,torque x5,5,,,,,
v2base,-0.065,0,8,400,0.430,0.530,207.7,1.01,154,5,0,0.0,6.310,6.630,FELL,torque x5,5,,,,,
v2base,+0.045,0,38,120,0.437,0.521,234.7,1.01,195,66,12,32.5,22.655,6.630,FELL,torque x5,5,,,,,
v2base,-0.065,1,8,-107,0.379,0.528,512.3,1.00,196,53,10,96.9,6.080,6.630,FELL,torque x5,5,,,,,
v2base,+0.073,0,7,671,0.438,0.547,156.5,1.00,173,15,6,66.6,5.490,6.630,FELL,torque x5,5,,,,,
v2base,+0.073,1,8,378,0.386,0.535,277.6,1.00,195,34,18,88.0,6.270,6.630,FELL,torque x5,5,,,,,
v2base,-0.073,0,7,-237,0.401,0.527,339.0,1.02,152,55,20,71.6,5.730,6.630,FELL,torque x5,5,,,,,
v2base,+0.045,1,40,94,0.465,0.033,40.8,1.01,114,54,19,17.3,,6.630,SURVIVED,torque x5,5,,,,,
v2base,-0.045,1,40,100,0.476,0.014,10.9,1.00,82,24,0,0.0,,6.630,SURVIVED,torque x5,5,,,,,
v2base,-0.073,1,7,811,0.369,0.523,270.6,1.01,152,16,17,94.6,5.570,6.630,FELL,torque x5,5,,,,,
v2base,+0.091,0,9,310,0.416,0.542,271.5,1.01,136,17,0,0.0,6.720,6.630,FELL,torque x5,5,,,,,
v2base,+0.091,1,6,0,0.377,0.540,359.4,1.01,149,7,0,0.0,5.025,6.630,FELL,torque x5,5,,,,,
v2base,-0.091,0,6,-0,0.401,0.534,263.4,1.00,152,17,10,152.7,4.990,6.630,FELL,torque x5,5,,,,,
v2base,-0.091,1,9,153,0.444,0.522,266.6,1.00,193,32,36,171.1,6.760,6.630,FELL,torque x5,5,,,,,
v2base,+0.045,0,40,101,0.474,0.012,7.1,1.00,86,263,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,+0.045,1,40,95,0.474,0.012,10.0,1.00,91,244,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,-0.045,0,40,95,0.474,0.014,7.8,1.00,91,265,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,-0.045,1,40,101,0.474,0.021,10.1,1.00,88,245,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,+0.050,0,40,100,0.474,0.011,18.8,1.00,86,252,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,+0.050,1,40,95,0.474,0.020,19.0,1.00,92,253,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,-0.050,0,40,95,0.474,0.011,18.9,1.00,90,295,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,-0.050,1,40,100,0.474,0.014,18.1,1.00,87,261,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,+0.055,0,40,100,0.474,0.012,19.0,1.00,86,234,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,+0.055,1,40,95,0.474,0.014,18.8,1.00,93,231,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,-0.055,0,40,95,0.474,0.014,19.2,1.00,94,244,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,-0.055,1,40,100,0.474,0.013,19.1,1.00,86,253,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,+0.065,0,40,100,0.474,0.017,19.5,1.00,105,214,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,+0.065,1,40,96,0.474,0.017,16.8,1.00,105,219,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,-0.065,0,40,96,0.474,0.014,21.6,1.00,115,314,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,-0.065,1,40,100,0.469,0.034,31.6,1.00,108,259,0,0.0,,6.630,SURVIVED,mu 2.0,,2.0,,,,
v2base,+0.073,1,10,283,0.408,0.550,294.2,1.00,144,88,1,243.4,7.055,6.630,FELL,mu 2.0,,2.0,,,,
v2base,+0.073,0,12,147,0.445,0.522,104.9,1.01,206,77,0,0.0,8.360,6.630,FELL,mu 2.0,,2.0,,,,
v2base,-0.073,1,11,278,0.367,0.558,374.9,1.00,148,101,4,86.6,7.650,6.630,FELL,mu 2.0,,2.0,,,,
v2base,+0.091,1,8,459,0.415,0.571,451.6,1.00,210,80,2,29.4,6.020,6.630,FELL,mu 2.0,,2.0,,,,
v2base,+0.091,0,9,308,0.397,0.539,309.2,1.01,163,69,8,79.2,6.535,6.630,FELL,mu 2.0,,2.0,,,,
v2base,-0.073,0,12,120,0.435,0.523,248.2,1.01,222,105,8,89.9,8.510,6.630,FELL,mu 2.0,,2.0,,,,
v2base,-0.091,1,8,365,0.412,0.575,316.2,1.01,146,62,15,123.3,6.305,6.630,FELL,mu 2.0,,2.0,,,,
v2base,-0.091,0,14,139,0.408,0.541,198.0,1.01,189,97,3,264.1,9.345,6.630,FELL,mu 2.0,,2.0,,,,
v2base,+0.050,0,9,239,0.386,0.530,65.2,1.00,206,63,0,0.0,6.590,6.630,FELL,arm hold,,,1,100,20,
v2base,-0.045,1,12,345,0.383,0.562,296.3,1.00,179,43,0,0.0,8.050,6.630,FELL,arm hold,,,1,100,20,
v2base,-0.050,0,8,235,0.445,0.567,171.5,1.01,183,37,9,49.9,6.015,6.630,FELL,arm hold,,,1,100,20,
v2base,-0.045,0,20,128,0.421,0.561,180.0,1.01,197,75,8,198.2,12.865,6.630,FELL,arm hold,,,1,100,20,
v2base,-0.050,1,13,135,0.436,0.528,170.0,1.00,153,45,0,0.0,9.060,6.630,FELL,arm hold,,,1,100,20,
v2base,+0.055,0,9,168,0.432,0.543,144.6,1.00,197,51,12,240.4,6.740,6.630,FELL,arm hold,,,1,100,20,
v2base,-0.055,0,7,293,0.432,0.534,159.8,1.00,164,35,9,178.5,5.625,6.630,FELL,arm hold,,,1,100,20,
v2base,+0.050,1,28,96,0.411,0.530,259.0,1.01,191,64,0,0.0,16.905,6.630,FELL,arm hold,,,1,100,20,
v2base,+0.055,1,15,191,0.434,0.524,248.4,1.01,177,38,0,0.0,9.880,6.630,FELL,arm hold,,,1,100,20,
v2base,+0.065,0,6,0,0.439,0.522,122.4,1.00,153,25,8,257.2,5.055,6.630,FELL,arm hold,,,1,100,20,
v2base,-0.055,1,9,402,0.434,0.521,273.4,1.00,207,32,0,0.0,6.580,6.630,FELL,arm hold,,,1,100,20,
v2base,+0.065,1,12,188,0.428,0.583,233.6,1.29,148,28,1,34.0,8.425,6.630,FELL,arm hold,,,1,100,20,
v2base,-0.065,0,12,206,0.431,0.560,328.3,1.01,206,23,1,31.0,8.255,6.630,FELL,arm hold,,,1,100,20,
v2base,+0.073,1,7,1207,0.430,0.530,164.2,1.00,185,56,0,0.0,5.330,6.630,FELL,arm hold,,,1,100,20,
v2base,-0.065,1,10,377,0.411,0.528,373.1,1.01,192,41,0,0.0,7.215,6.630,FELL,arm hold,,,1,100,20,
v2base,+0.045,0,40,100,0.476,0.036,33.6,1.01,140,80,0,0.0,,6.630,SURVIVED,arm hold,,,1,100,20,
v2base,+0.045,1,40,95,0.476,0.022,20.2,1.01,70,33,0,0.0,,6.630,SURVIVED,arm hold,,,1,100,20,
v2base,+0.073,0,13,191,0.358,0.555,258.8,1.00,184,45,0,0.0,8.705,6.630,FELL,arm hold,,,1,100,20,
v2base,-0.073,0,12,118,0.439,0.522,88.3,1.00,200,53,18,348.7,8.390,6.630,FELL,arm hold,,,1,100,20,
v2base,-0.073,1,7,395,0.378,0.540,187.5,1.00,199,53,0,0.0,5.395,6.630,FELL,arm hold,,,1,100,20,
v2base,-0.091,1,7,901,0.392,0.546,361.3,1.00,154,47,7,130.8,5.580,6.630,FELL,arm hold,,,1,100,20,
v2base,+0.091,1,8,378,0.428,0.569,295.4,1.00,203,35,2,233.3,6.200,6.630,FELL,arm hold,,,1,100,20,
v2base,-0.091,0,9,30,0.425,0.521,96.0,1.01,198,64,18,224.5,6.730,6.630,FELL,arm hold,,,1,100,20,
v2base,+0.091,0,10,13,0.427,0.551,248.9,1.01,160,45,29,202.3,7.170,6.630,FELL,arm hold,,,1,100,20,
v2_arom40,+0.045,0,40,101,0.476,0.012,9.8,1.00,33,30,0,0.0,,6.630,SURVIVED,ankle ROM40,,,,,,
v2_arom40,+0.045,1,40,94,0.474,0.019,34.5,1.01,36,33,0,0.0,,6.630,SURVIVED,ankle ROM40,,,,,,
v2_arom40,-0.045,0,40,95,0.476,0.012,10.1,1.00,32,31,0,0.0,,6.630,SURVIVED,ankle ROM40,,,,,,
v2_arom40,-0.045,1,40,101,0.476,0.010,10.2,1.00,32,26,0,0.0,,6.630,SURVIVED,ankle ROM40,,,,,,
v2_arom40,+0.050,0,40,100,0.476,0.016,11.5,1.00,40,22,0,0.0,,6.630,SURVIVED,ankle ROM40,,,,,,
v2_arom40,+0.050,1,40,95,0.473,0.016,32.8,1.00,35,19,0,0.0,,6.630,SURVIVED,ankle ROM40,,,,,,
v2_arom40,-0.050,0,40,95,0.471,0.016,26.5,1.00,41,9,0,0.0,,6.630,SURVIVED,ankle ROM40,,,,,,
v2_arom40,-0.050,1,40,100,0.470,0.016,26.3,1.00,49,21,0,0.0,,6.630,SURVIVED,ankle ROM40,,,,,,
v2_arom40,+0.055,1,8,197,0.408,0.525,154.8,1.21,151,29,19,195.4,6.220,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,+0.055,0,12,204,0.410,0.533,349.2,1.01,150,22,2,297.8,8.055,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,-0.055,1,9,203,0.431,0.534,220.2,1.01,145,29,8,221.5,6.870,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,-0.055,0,12,249,0.424,0.556,296.0,1.00,152,21,0,0.0,8.310,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,+0.065,1,8,473,0.394,0.526,267.3,1.01,149,15,9,779.1,6.225,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,+0.065,0,9,339,0.380,0.536,262.6,1.01,139,26,17,34.9,6.570,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,-0.065,0,8,673,0.418,0.527,322.3,1.00,112,27,18,38.5,5.915,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,+0.073,0,8,47,0.335,0.577,257.9,1.01,145,37,0,0.0,5.960,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,+0.073,1,8,394,0.434,0.532,310.6,1.00,131,16,0,0.0,6.090,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,-0.065,1,11,314,0.321,0.538,410.7,1.01,151,32,5,242.4,7.930,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,-0.073,0,8,504,0.427,0.528,327.1,1.01,143,22,0,0.0,6.070,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,-0.073,1,7,814,0.433,0.524,248.5,1.00,150,17,3,76.2,5.580,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,+0.091,1,6,0,0.433,0.560,229.9,1.01,145,14,0,0.0,5.035,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,+0.091,0,7,899,0.410,0.534,368.4,1.00,152,22,36,360.8,5.610,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,-0.091,0,6,-0,0.410,0.520,375.0,1.01,145,27,6,115.8,5.085,6.630,FELL,ankle ROM40,,,,,,
v2_arom40,-0.091,1,7,812,0.409,0.536,333.5,1.04,138,26,9,557.1,5.600,6.630,FELL,ankle ROM40,,,,,,
v2_atau18,+0.045,0,40,100,0.477,0.012,10.0,1.00,82,11,0,0.0,,6.630,SURVIVED,ankle tau18,,,,,,
v2_atau18,+0.045,1,40,94,0.475,0.012,24.0,1.00,69,15,0,0.0,,6.630,SURVIVED,ankle tau18,,,,,,
v2_atau18,-0.045,0,40,94,0.475,0.012,19.5,1.00,71,11,0,0.0,,6.630,SURVIVED,ankle tau18,,,,,,
v2_atau18,-0.045,1,40,101,0.476,0.012,11.8,1.00,66,18,0,0.0,,6.630,SURVIVED,ankle tau18,,,,,,
v2_atau18,+0.050,0,40,100,0.477,0.017,15.3,1.00,84,8,0,0.0,,6.630,SURVIVED,ankle tau18,,,,,,
v2_atau18,-0.050,0,40,95,0.467,0.015,29.6,1.00,75,9,0,0.0,,6.630,SURVIVED,ankle tau18,,,,,,
v2_atau18,+0.050,1,40,95,0.475,0.015,27.1,1.00,92,8,0,0.0,,6.630,SURVIVED,ankle tau18,,,,,,
v2_atau18,-0.050,1,40,100,0.477,0.016,11.1,1.00,85,10,0,0.0,,6.630,SURVIVED,ankle tau18,,,,,,
v2_atau18,+0.055,0,13,229,0.407,0.529,254.8,1.01,382,24,8,206.1,8.965,6.630,FELL,ankle tau18,,,,,,
v2_atau18,+0.065,1,8,400,0.427,0.555,210.4,1.00,361,10,2,65.2,6.055,6.630,FELL,ankle tau18,,,,,,
v2_atau18,+0.055,1,14,219,0.405,0.543,395.4,1.01,288,58,0,0.0,9.330,6.630,FELL,ankle tau18,,,,,,
v2_atau18,+0.065,0,9,430,0.421,0.555,327.1,1.00,345,20,8,128.1,6.530,6.630,FELL,ankle tau18,,,,,,
v2_atau18,-0.065,0,10,181,0.445,0.545,161.9,1.00,361,17,1,50.0,7.285,6.630,FELL,ankle tau18,,,,,,
v2_atau18,-0.055,1,13,198,0.449,0.528,199.0,1.01,318,11,0,0.0,9.005,6.630,FELL,ankle tau18,,,,,,
v2_atau18,-0.065,1,9,440,0.418,0.541,269.6,1.00,361,20,0,0.0,6.510,6.630,FELL,ankle tau18,,,,,,
v2_atau18,-0.055,0,18,109,0.433,0.522,152.7,1.01,328,21,10,179.4,11.640,6.630,FELL,ankle tau18,,,,,,
v2_atau18,-0.073,0,5,-0,0.440,0.524,41.1,1.00,172,4,0,0.0,4.470,6.630,FELL,ankle tau18,,,,,,
v2_atau18,+0.073,0,7,884,0.434,0.534,256.0,1.00,224,10,5,73.9,5.590,6.630,FELL,ankle tau18,,,,,,
v2_atau18,+0.073,1,8,433,0.415,0.547,257.9,1.01,368,24,5,77.8,6.155,6.630,FELL,ankle tau18,,,,,,
v2_atau18,-0.073,1,7,543,0.432,0.558,183.5,1.01,382,22,11,319.2,5.650,6.630,FELL,ankle tau18,,,,,,
v2_atau18,+0.091,1,6,0,0.420,0.537,207.6,1.00,374,7,1,14.9,5.020,6.630,FELL,ankle tau18,,,,,,
v2_atau18,+0.091,0,8,126,0.427,0.535,287.4,1.01,299,22,9,222.9,6.250,6.630,FELL,ankle tau18,,,,,,
v2_atau18,-0.091,0,6,-0,0.456,0.522,189.4,1.01,268,28,23,153.7,5.075,6.630,FELL,ankle tau18,,,,,,
v2_atau18,-0.091,1,9,340,0.393,0.524,267.8,1.01,306,27,3,168.1,6.465,6.630,FELL,ankle tau18,,,,,,
v2_sole60,+0.045,0,40,101,0.476,0.003,5.1,1.00,58,13,0,0.0,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,+0.045,1,40,95,0.476,0.003,5.1,1.00,60,23,0,0.0,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,-0.045,0,40,95,0.476,0.003,5.1,1.00,60,34,0,0.0,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,-0.045,1,40,101,0.476,0.003,5.1,1.00,60,27,0,0.0,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,+0.050,0,40,100,0.476,0.003,5.1,1.00,59,22,0,0.0,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,-0.050,0,40,95,0.476,0.003,5.1,1.00,59,24,0,0.0,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,+0.050,1,40,95,0.476,0.003,5.1,1.00,59,20,0,0.0,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,-0.050,1,40,100,0.476,0.003,5.1,1.00,59,27,0,0.0,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,+0.055,0,40,100,0.476,0.003,5.1,1.00,60,21,0,0.0,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,+0.055,1,40,95,0.476,0.003,5.1,1.00,61,17,0,0.0,,6.630,SURVIVED,sole 60mm,,,,,,0.030
