t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r
0.0000,0.00020,0.00001,0.48033,1.00000,0.00000,-0.00125,0.00000,0.00608,-0.00000,0.31445,0.31445,0.00282,0.00375,2,0.03442,0.00282,0.034422,0.01249,-1.0021,0.0000,-0.1977,0.3509,-1.1491,-0.0000,-2.3167,0,0.04900,0.01900,0.0753,0.0753,0.002218,0.083855,-0.6586,1.1629,23.4878,0.0868,-1.4880,33.0016,-0.6524,1.1638,33.9338,0.0868,1.4880,33.0016,0.017148,-0.003612,23.4906,-0.001987,0.014036,33.0016,0.014278,-0.002703,33.9286,-0.001987,-0.014036,33.0016,-0.00071,-0.00026,-0.34813,0.70668,-0.35464,-0.00299,0.00071,0.00020,-0.34812,0.70665,-0.35463,0.00308,0.00033,-0.00039,0.00034,-0.00039,0.00132,-0.26536,0.10090,-0.36137,0.34613,0.04886,0.00122,-0.26107,0.22119,-0.64374,0.42709,0.04662,0.02106,0.00131,0.02107,0.00131,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006935,-0.000000,0.004194,0.003750,0.004194,0.000000,0.012416,-0.011249,0.000000,0.004644,0.000000,0.000000,0.419435,0.580565,0.000000,0.000000,0.000000,-0.003195,0.003195
0.0050,0.00024,0.00003,0.48038,1.00000,0.00000,-0.00110,0.00000,0.00610,0.00000,0.31452,0.31445,0.00249,0.00385,2,0.03448,0.00249,0.034482,0.01180,-1.0993,-0.0001,-0.1851,0.3292,-0.9209,-0.0144,-1.9877,0,0.04900,0.01900,0.0748,0.0645,0.020290,0.067209,-0.6166,1.0943,24.5708,-0.5934,0.9735,25.4218,-0.6106,1.0885,34.3637,-0.5940,1.2476,35.7331,0.013310,-0.002672,24.5733,0.016098,-0.002597,25.4218,0.011747,-0.002531,34.3591,0.013721,-0.002801,35.7331,-0.00069,-0.00036,-0.34861,0.70706,-0.35496,-0.00260,0.00069,0.00015,-0.34858,0.70699,-0.35492,0.00290,0.00033,-0.00037,0.00033,-0.00037,0.00173,-0.23983,0.05650,-0.45812,0.26980,0.03733,0.00077,-0.25877,0.16861,-0.72275,0.34626,0.04312,0.01406,0.00118,0.01449,0.00121,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006807,0.000304,0.004194,0.003855,0.004194,0.000105,0.012032,-0.010548,0.000000,0.004408,0.000000,0.000000,0.424458,0.575542,0.000000,0.000000,0.000000,-0.002986,0.003075
0.0100,0.00028,0.00005,0.48042,1.00000,0.00000,-0.00097,0.00000,0.00612,0.00002,0.31457,0.31445,0.00220,0.00396,2,0.03453,0.00220,0.034538,0.01074,-1.1411,-0.0001,-0.1730,0.3087,-0.7565,-0.0254,-1.7447,0,0.04900,0.01900,0.0669,0.0599,0.016738,0.067906,-0.5764,1.0283,25.4282,-0.5360,0.9070,26.2335,-0.5707,1.0183,34.5966,-0.5381,1.1723,35.9034,0.010823,-0.002066,25.4304,0.012545,-0.001903,26.2335,0.010028,-0.002374,34.5926,0.011292,-0.002610,35.9034,-0.00068,-0.00052,-0.34916,0.70762,-0.35535,-0.00210,0.00069,0.00007,-0.34910,0.70749,-0.35527,0.00270,0.00031,-0.00034,0.00031,-0.00034,0.00196,-0.21865,0.02899,-0.52901,0.21980,0.02952,0.00048,-0.25189,0.13346,-0.77666,0.29173,0.04063,0.00960,0.00112,0.01031,0.00118,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006684,0.000597,0.004194,0.003959,0.004194,0.000209,0.011663,-0.009877,0.000000,0.004183,0.000000,0.000000,0.429266,0.570734,0.000000,0.000000,0.000000,-0.002596,0.002896
0.0150,0.00031,0.00009,0.48044,1.00000,0.00001,-0.00086,0.00000,0.00613,0.00004,0.31461,0.31445,0.00195,0.00406,2,0.03458,0.00195,0.034588,0.00950,-1.1454,-0.0002,-0.1616,0.2893,-0.6373,-0.0338,-1.5598,0,0.04900,0.01900,0.0604,0.0558,0.014384,0.068354,-0.5384,0.9654,26.1211,-0.4855,0.8453,26.8985,-0.5331,0.9529,34.6936,-0.4885,1.0994,35.9542,0.009161,-0.001656,26.1228,0.010191,-0.001454,26.8985,0.008829,-0.002219,34.6902,0.009618,-0.002434,35.9542,-0.00067,-0.00071,-0.34971,0.70820,-0.35573,-0.00154,0.00068,-0.00004,-0.34962,0.70801,-0.35562,0.00253,0.00028,-0.00031,0.00030,-0.00031,0.00207,-0.20065,0.01258,-0.58193,0.18730,0.02391,0.00030,-0.24229,0.10992,-0.81333,0.25475,0.03861,0.00680,0.00108,0.00768,0.00115,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006566,0.000881,0.004194,0.004064,0.004194,0.000314,0.011310,-0.009236,0.000000,0.003970,0.000000,0.000000,0.433857,0.566143,0.000000,0.000000,0.000000,-0.002098,0.002702
0.0200,0.00033,0.00014,0.48047,1.00000,0.00001,-0.00075,0.00000,0.00614,0.00007,0.31464,0.31445,0.00172,0.00417,2,0.03462,0.00172,0.034632,0.00822,-1.1261,-0.0002,-0.1509,0.2711,-0.5510,-0.0403,-1.4148,0,0.04900,0.01900,0.0548,0.0520,0.012790,0.068655,-0.5026,0.9057,26.6914,-0.4409,0.7885,27.4587,-0.4977,0.8919,34.6959,-0.4442,1.0297,35.9284,0.008009,-0.001369,26.6928,0.008596,-0.001152,27.4587,0.007963,-0.002064,34.6930,0.008438,-0.002263,35.9284,-0.00067,-0.00093,-0.35022,0.70874,-0.35608,-0.00097,0.00068,-0.00019,-0.35011,0.70849,-0.35592,0.00239,0.00025,-0.00028,0.00027,-0.00028,0.00209,-0.18501,0.00330,-0.62235,0.16619,0.01970,0.00019,-0.23109,0.09393,-0.83822,0.22923,0.03684,0.00505,0.00105,0.00602,0.00113,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006455,0.001154,0.004194,0.004169,0.004194,0.000419,0.010976,-0.008624,0.000000,0.003768,0.000000,0.000000,0.438236,0.561764,0.000000,0.000000,0.000000,-0.001544,0.002526
0.0250,0.00035,0.00020,0.48049,1.00000,0.00001,-0.00066,-0.00000,0.00615,0.00010,0.31467,0.31445,0.00151,0.00427,2,0.03465,0.00151,0.034669,0.00700,-1.0935,-0.0003,-0.1408,0.2540,-0.4887,-0.0451,-1.2977,0,0.04900,0.01900,0.0500,0.0486,0.011681,0.068866,-0.4692,0.8492,27.1687,-0.4017,0.7350,27.9403,-0.4645,0.8348,34.6316,-0.4049,0.9644,35.8507,0.007176,-0.001161,27.1698,0.007487,-0.000939,27.9403,0.007310,-0.001910,34.6292,0.007584,-0.002098,35.8507,-0.00066,-0.00117,-0.35068,0.70919,-0.35636,-0.00040,0.00068,-0.00036,-0.35055,0.70888,-0.35617,0.00230,0.00022,-0.00024,0.00024,-0.00024,0.00203,-0.17115,-0.00155,-0.65403,0.15231,0.01643,0.00013,-0.21901,0.08279,-0.85504,0.21106,0.03520,0.00395,0.00102,0.00495,0.00109,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006350,0.001419,0.004194,0.004273,0.004194,0.000524,0.010661,-0.008041,0.000000,0.003577,0.000000,0.000000,0.442412,0.557588,0.000000,0.000000,0.000000,-0.000969,0.002389
0.0300,0.00036,0.00026,0.48051,1.00000,0.00001,-0.00057,-0.00000,0.00615,0.00014,0.31469,0.31445,0.00132,0.00438,2,0.03468,0.00132,0.034701,0.00587,-1.0547,-0.0003,-0.1315,0.2379,-0.4442,-0.0488,-1.2007,0,0.04900,0.01900,0.0456,0.0456,0.010886,0.069025,-0.4379,0.7959,27.5746,-0.3676,0.6837,28.3611,-0.4336,0.7814,34.5209,-0.3705,0.9045,35.7383,0.006548,-0.001003,27.5755,0.006690,-0.000779,28.3611,0.006797,-0.001762,34.5189,0.006944,-0.001941,35.7383,-0.00065,-0.00144,-0.35109,0.70952,-0.35655,0.00016,0.00069,-0.00057,-0.35094,0.70918,-0.35633,0.00228,0.00018,-0.00021,0.00021,-0.00021,0.00195,-0.15855,-0.00368,-0.67945,0.14298,0.01381,0.00010,-0.20659,0.07471,-0.86627,0.19756,0.03367,0.00326,0.00097,0.00424,0.00104,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006251,0.001674,0.004194,0.004378,0.004194,0.000628,0.010365,-0.007485,0.000000,0.003398,0.000000,0.000000,0.446397,0.553603,0.000000,0.000000,0.000000,-0.000397,0.002304
0.0350,0.00037,0.00033,0.48052,1.00000,0.00002,-0.00049,-0.00000,0.00615,0.00019,0.31472,0.31445,0.00115,0.00448,2,0.03471,0.00115,0.034727,0.00487,-1.0147,-0.0003,-0.1227,0.2228,-0.4128,-0.0514,-1.1187,0,0.04900,0.01900,0.0417,0.0428,0.010293,0.069150,-0.4086,0.7456,27.9251,-0.3372,0.6349,28.7324,-0.4047,0.7313,34.3782,-0.3400,0.8492,35.6012,0.006054,-0.000877,27.9257,0.006096,-0.000653,28.7324,0.006375,-0.001622,34.3766,0.006446,-0.001796,35.6012,-0.00064,-0.00172,-0.35143,0.70974,-0.35667,0.00070,0.00069,-0.00081,-0.35127,0.70936,-0.35642,0.00230,0.00014,-0.00019,0.00018,-0.00019,0.00184,-0.14683,-0.00421,-0.70032,0.13645,0.01166,0.00008,-0.19421,0.06855,-0.87357,0.18699,0.03228,0.00283,0.00092,0.00375,0.00098,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006158,0.001921,0.004194,0.004483,0.004194,0.000733,0.010084,-0.006954,0.000000,0.003228,0.000000,0.000000,0.450201,0.549799,0.000000,0.000000,0.000000,0.000160,0.002276
0.0400,0.00038,0.00041,0.48054,1.00000,0.00002,-0.00042,-0.00001,0.00615,0.00024,0.31474,0.31445,0.00099,0.00459,2,0.03473,0.00099,0.034749,0.00400,-0.9762,-0.0004,-0.1145,0.2085,-0.3911,-0.0531,-1.0483,0,0.04900,0.01900,0.0382,0.0403,0.009833,0.069254,-0.3812,0.6983,28.2326,-0.3099,0.5886,29.0633,-0.3776,0.6843,34.2147,-0.3125,0.7980,35.4464,0.005648,-0.000773,28.2331,0.005635,-0.000548,29.0633,0.006016,-0.001492,34.2133,0.006042,-0.001663,35.4464,-0.00064,-0.00203,-0.35172,0.70984,-0.35671,0.00121,0.00070,-0.00107,-0.35156,0.70944,-0.35644,0.00239,0.00009,-0.00016,0.00014,-0.00016,0.00172,-0.13575,-0.00384,-0.71787,0.13157,0.00986,0.00005,-0.18205,0.06357,-0.87815,0.17824,0.03101,0.00254,0.00086,0.00339,0.00091,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006070,0.002160,0.004194,0.004588,0.004194,0.000838,0.009820,-0.006446,0.000000,0.003068,0.000000,0.000000,0.453835,0.546165,0.000000,0.000000,0.000000,0.000697,0.002304
0.0450,0.00038,0.00049,0.48056,1.00000,0.00002,-0.00035,-0.00001,0.00615,0.00030,0.31475,0.31445,0.00084,0.00469,2,0.03474,0.00084,0.034766,0.00326,-0.9408,-0.0004,-0.1068,0.1952,-0.3763,-0.0543,-0.9873,0,0.04900,0.01900,0.0349,0.0380,0.009461,0.069344,-0.3556,0.6538,28.5068,-0.2850,0.5448,29.3610,-0.3523,0.6402,34.0385,-0.2874,0.7504,35.2799,0.005303,-0.000682,28.5070,0.005261,-0.000457,29.3610,0.005697,-0.001372,34.0374,0.005701,-0.001541,35.2799,-0.00063,-0.00235,-0.35196,0.70984,-0.35667,0.00171,0.00071,-0.00135,-0.35180,0.70943,-0.35639,0.00252,0.00005,-0.00014,0.00010,-0.00014,0.00159,-0.12517,-0.00302,-0.73293,0.12764,0.00833,0.00002,-0.17025,0.05929,-0.88083,0.17058,0.02986,0.00235,0.00080,0.00311,0.00084,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005986,0.002391,0.004194,0.004692,0.004194,0.000943,0.009570,-0.005961,0.000000,0.002916,0.000000,0.000000,0.457309,0.542691,0.000000,0.000000,0.000000,0.001213,0.002385
