t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r
0.0000,0.00020,0.00001,0.48033,1.00000,0.00000,-0.00125,0.00000,0.00608,0.00000,0.31446,0.31446,0.00282,0.00625,2,0.03442,0.00282,0.034422,0.01259,-1.0021,0.0000,-0.1977,0.5849,-1.1491,0.0000,-2.3169,0,0.04900,0.01900,0.0753,0.0753,0.002218,0.083862,-0.6607,1.9385,20.0057,0.0868,-1.4887,33.0014,-0.6503,1.9394,37.4157,0.0868,1.4887,33.0014,0.018770,-0.007180,20.0112,-0.001987,0.014043,33.0014,0.013678,-0.004024,37.4079,-0.001987,-0.014043,33.0014,-0.00071,-0.00028,-0.34814,0.70668,-0.35465,-0.00296,0.00071,0.00018,-0.34812,0.70665,-0.35463,0.00310,0.00033,-0.00039,0.00034,-0.00039,0.00217,-0.44083,0.06081,-0.26723,0.31916,0.08069,0.00208,-0.43655,0.26130,-0.73784,0.45410,0.07845,0.02106,0.00131,0.02108,0.00131,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006935,0.000000,0.004194,0.006250,0.004194,-0.000000,0.012416,-0.018749,0.000000,0.006824,0.000000,0.000000,0.365726,0.634274,0.000000,0.000000,0.000000,-0.003194,0.003194
0.0050,0.00024,0.00004,0.48038,1.00000,0.00000,-0.00110,0.00000,0.00610,0.00001,0.31452,0.31446,0.00249,0.00642,2,0.03448,0.00249,0.034483,0.01196,-1.1083,-0.0001,-0.1851,0.5487,-0.9209,-0.0229,-1.9880,0,0.04900,0.01900,0.1375,0.0883,0.021577,0.064284,-0.6186,1.8219,21.3065,-0.5933,1.7137,21.9852,-0.6086,1.8161,37.6280,-0.5943,1.9883,39.1697,0.014151,-0.005471,21.3113,0.017386,-0.005522,21.9852,0.011407,-0.003664,37.6209,0.013208,-0.003970,39.1697,-0.00069,-0.00043,-0.34863,0.70709,-0.35497,-0.00250,0.00069,0.00008,-0.34857,0.70697,-0.35491,0.00299,0.00032,-0.00037,0.00033,-0.00037,0.00269,-0.40606,0.01915,-0.36989,0.24432,0.06418,0.00173,-0.42491,0.20598,-0.81095,0.37177,0.06992,0.01387,0.00116,0.01467,0.00123,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006807,0.000506,0.004194,0.006424,0.004194,0.000175,0.012032,-0.017580,0.000000,0.006469,0.000000,0.000000,0.374097,0.625903,0.000000,0.000000,0.000000,-0.002956,0.003103
0.0100,0.00028,0.00009,0.48042,1.00000,0.00001,-0.00097,0.00000,0.00612,0.00003,0.31457,0.31446,0.00220,0.00660,2,0.03453,0.00220,0.034540,0.01093,-1.1559,-0.0001,-0.1730,0.5145,-0.7565,-0.0403,-1.7448,0,0.04900,0.01900,0.1222,0.0828,0.017388,0.065557,-0.5783,1.7105,22.3720,-0.5353,1.5993,23.0110,-0.5689,1.7005,37.6527,-0.5389,1.8663,39.1265,0.011233,-0.004357,22.3761,0.013197,-0.004249,23.0110,0.009849,-0.003372,37.6465,0.011013,-0.003620,39.1265,-0.00068,-0.00066,-0.34918,0.70766,-0.35537,-0.00190,0.00069,-0.00008,-0.34908,0.70744,-0.35524,0.00290,0.00030,-0.00034,0.00032,-0.00034,0.00300,-0.37562,-0.00583,-0.44646,0.19579,0.05298,0.00151,-0.40857,0.16828,-0.85923,0.31571,0.06395,0.00929,0.00109,0.01061,0.00120,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006684,0.000995,0.004194,0.006599,0.004194,0.000349,0.011663,-0.016461,0.000000,0.006132,0.000000,0.000000,0.382110,0.617890,0.000000,0.000000,0.000000,-0.002495,0.002994
0.0150,0.00031,0.00015,0.48044,1.00000,0.00001,-0.00086,0.00000,0.00613,0.00006,0.31461,0.31446,0.00195,0.00677,2,0.03458,0.00195,0.034591,0.00970,-1.1641,-0.0002,-0.1616,0.4822,-0.6374,-0.0536,-1.5600,0,0.04900,0.01900,0.1095,0.0777,0.014670,0.066399,-0.5402,1.6047,23.2632,-0.4845,1.4922,23.8810,-0.5313,1.5924,37.5509,-0.4896,1.7490,38.9728,0.009324,-0.003588,23.2666,0.010478,-0.003405,23.8810,0.008751,-0.003115,37.5456,0.009486,-0.003329,38.9728,-0.00067,-0.00095,-0.34974,0.70827,-0.35577,-0.00122,0.00069,-0.00029,-0.34959,0.70794,-0.35558,0.00285,0.00028,-0.00031,0.00030,-0.00031,0.00315,-0.34853,-0.01988,-0.50483,0.16475,0.04491,0.00136,-0.38962,0.14233,-0.89053,0.27719,0.05933,0.00641,0.00105,0.00806,0.00119,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006566,0.001468,0.004194,0.006773,0.004194,0.000524,0.011310,-0.015393,0.000000,0.005812,0.000000,0.000000,0.389761,0.610239,0.000000,0.000000,0.000000,-0.001896,0.002902
0.0200,0.00033,0.00023,0.48047,1.00000,0.00001,-0.00075,0.00000,0.00614,0.00011,0.31464,0.31446,0.00172,0.00695,2,0.03462,0.00172,0.034636,0.00842,-1.1472,-0.0002,-0.1509,0.4519,-0.5512,-0.0637,-1.4151,0,0.04900,0.01900,0.0988,0.0730,0.012863,0.066988,-0.5043,1.5047,24.0226,-0.4397,1.3929,24.6364,-0.4961,1.4912,37.3635,-0.4454,1.6376,38.7517,0.008027,-0.003030,24.0252,0.008671,-0.002814,24.6364,0.007949,-0.002878,37.3590,0.008400,-0.003070,38.7517,-0.00066,-0.00129,-0.35026,0.70883,-0.35613,-0.00049,0.00069,-0.00055,-0.35007,0.70840,-0.35587,0.00286,0.00025,-0.00028,0.00028,-0.00028,0.00316,-0.32409,-0.02695,-0.55048,0.14506,0.03878,0.00124,-0.36933,0.12409,-0.91030,0.25017,0.05549,0.00462,0.00102,0.00643,0.00116,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006455,0.001924,0.004194,0.006948,0.004194,0.000698,0.010977,-0.014374,0.000000,0.005509,0.000000,0.000000,0.397059,0.602941,0.000000,0.000000,0.000000,-0.001215,0.002851
0.0250,0.00035,0.00033,0.48049,1.00000,0.00002,-0.00066,-0.00000,0.00615,0.00017,0.31467,0.31446,0.00151,0.00712,2,0.03465,0.00151,0.034674,0.00718,-1.1157,-0.0003,-0.1408,0.4233,-0.4889,-0.0714,-1.2981,0,0.04900,0.01900,0.0896,0.0687,0.011630,0.067423,-0.4707,1.4103,24.6802,-0.4006,1.2994,25.3042,-0.4631,1.3963,37.1184,-0.4060,1.5329,38.4875,0.007108,-0.002608,24.6822,0.007437,-0.002377,25.3042,0.007339,-0.002654,37.1146,0.007605,-0.002831,38.4875,-0.00065,-0.00168,-0.35073,0.70929,-0.35642,0.00024,0.00070,-0.00087,-0.35050,0.70878,-0.35610,0.00294,0.00021,-0.00024,0.00025,-0.00024,0.00309,-0.30172,-0.02971,-0.58716,0.13258,0.03396,0.00114,-0.34845,0.11083,-0.92223,0.23053,0.05214,0.00350,0.00098,0.00536,0.00112,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006350,0.002364,0.004194,0.007122,0.004194,0.000873,0.010662,-0.013402,0.000000,0.005224,0.000000,0.000000,0.404020,0.595980,0.000000,0.000000,0.000000,-0.000494,0.002859
0.0300,0.00036,0.00043,0.48051,1.00000,0.00002,-0.00057,-0.00000,0.00615,0.00023,0.31469,0.31446,0.00132,0.00730,2,0.03468,0.00132,0.034707,0.00604,-1.0773,-0.0003,-0.1315,0.3965,-0.4445,-0.0771,-1.2012,0,0.04900,0.01900,0.0814,0.0647,0.010762,0.067761,-0.4393,1.3214,25.2580,-0.3665,1.2108,25.9024,-0.4322,1.3074,36.8352,-0.3716,1.4361,38.1972,0.006428,-0.002276,25.2595,0.006567,-0.002037,25.9024,0.006854,-0.002445,36.8320,0.007004,-0.002612,38.1972,-0.00064,-0.00210,-0.35114,0.70964,-0.35663,0.00098,0.00070,-0.00124,-0.35089,0.70905,-0.35625,0.00308,0.00017,-0.00021,0.00022,-0.00021,0.00296,-0.28094,-0.02988,-0.61739,0.12460,0.03004,0.00106,-0.32754,0.10075,-0.92879,0.21560,0.04915,0.00282,0.00094,0.00464,0.00107,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006251,0.002790,0.004194,0.007297,0.004194,0.001047,0.010365,-0.012475,0.000000,0.004954,0.000000,0.000000,0.410660,0.589340,0.000000,0.000000,0.000000,0.000242,0.002935
0.0350,0.00037,0.00055,0.48052,1.00000,0.00003,-0.00049,-0.00001,0.00615,0.00031,0.31472,0.31446,0.00115,0.00747,2,0.03470,0.00115,0.034734,0.00501,-1.0370,-0.0003,-0.1227,0.3713,-0.4132,-0.0812,-1.1194,0,0.04900,0.01900,0.0742,0.0611,0.010127,0.068034,-0.4099,1.2377,25.7727,-0.3362,1.1272,26.4429,-0.4034,1.2239,36.5280,-0.3410,1.3463,37.8902,0.005902,-0.002004,25.7737,0.005931,-0.001761,26.4429,0.006451,-0.002250,36.5253,0.006530,-0.002411,37.8902,-0.00062,-0.00256,-0.35148,0.70986,-0.35676,0.00170,0.00071,-0.00164,-0.35122,0.70922,-0.35633,0.00330,0.00012,-0.00019,0.00019,-0.00019,0.00280,-0.26134,-0.02854,-0.64287,0.11938,0.02679,0.00097,-0.30696,0.09271,-0.93165,0.20366,0.04650,0.00240,0.00089,0.00413,0.00101,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006158,0.003201,0.004194,0.007471,0.004194,0.001222,0.010085,-0.011589,0.000000,0.004700,0.000000,0.000000,0.417000,0.583000,0.000000,0.000000,0.000000,0.000977,0.003082
0.0400,0.00038,0.00068,0.48054,1.00000,0.00003,-0.00042,-0.00001,0.00615,0.00040,0.31474,0.31446,0.00098,0.00765,2,0.03472,0.00098,0.034756,0.00412,-0.9978,-0.0004,-0.1145,0.3476,-0.3916,-0.0839,-1.0492,0,0.04900,0.01900,0.0676,0.0577,0.009644,0.068263,-0.3824,1.1589,26.2371,-0.3088,1.0483,26.9354,-0.3765,1.1455,36.2072,-0.3134,1.2627,37.5734,0.005478,-0.001775,26.2377,0.005446,-0.001529,26.9354,0.006103,-0.002069,36.2050,0.006141,-0.002226,37.5734,-0.00061,-0.00306,-0.35177,0.70997,-0.35680,0.00242,0.00073,-0.00209,-0.35150,0.70929,-0.35634,0.00357,0.00007,-0.00016,0.00016,-0.00016,0.00261,-0.24268,-0.02640,-0.66482,0.11576,0.02404,0.00087,-0.28691,0.08593,-0.93200,0.19358,0.04413,0.00214,0.00084,0.00373,0.00093,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006070,0.003599,0.004194,0.007646,0.004194,0.001396,0.009820,-0.010744,0.000000,0.004460,0.000000,0.000000,0.423057,0.576943,0.000000,0.000000,0.000000,0.001703,0.003296
0.0450,0.00038,0.00081,0.48056,1.00000,0.00004,-0.00035,-0.00002,0.00615,0.00049,0.31475,0.31446,0.00084,0.00782,2,0.03474,0.00084,0.034774,0.00335,-0.9614,-0.0004,-0.1068,0.3253,-0.3768,-0.0857,-0.9884,0,0.04900,0.01900,0.0617,0.0546,0.009260,0.068461,-0.3567,1.0849,26.6611,-0.2840,0.9739,27.3876,-0.3513,1.0719,35.8809,-0.2882,1.1847,37.2519,0.005123,-0.001577,26.6616,0.005061,-0.001329,27.3876,0.005793,-0.001902,35.8790,0.005808,-0.002057,37.2519,-0.00059,-0.00358,-0.35201,0.70997,-0.35677,0.00312,0.00074,-0.00258,-0.35174,0.70927,-0.35628,0.00391,0.00003,-0.00014,0.00012,-0.00014,0.00239,-0.22478,-0.02388,-0.68411,0.11305,0.02169,0.00074,-0.26750,0.07995,-0.93065,0.18466,0.04202,0.00198,0.00078,0.00340,0.00086,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005986,0.003985,0.004194,0.007821,0.004194,0.001571,0.009570,-0.009935,0.000000,0.004233,0.000000,0.000000,0.428848,0.571152,0.000000,0.000000,0.000000,0.002419,0.003575
