t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r
0.0000,0.00019,0.00001,0.48025,1.00000,0.00000,-0.00141,0.00000,0.00612,-0.00000,0.31436,0.31436,0.00317,0.00403,2,0.03435,0.00317,0.034348,0.01489,-1.1908,0.0000,-0.2024,0.3771,-1.3503,-0.0000,-2.3817,0,0.04900,0.01900,0.0053,0.0053,0.001621,0.045660,-0.6763,1.2500,19.3288,0.0781,-0.0705,33.0290,-0.6658,1.2500,36.7593,0.0781,0.0705,33.0290,0.019647,-0.004870,19.3278,-0.002652,0.000659,33.0290,0.014044,-0.002576,36.7580,-0.002652,-0.000659,33.0290,-0.00013,-0.00001,-0.34804,0.70694,-0.35457,-0.00014,0.00013,-0.00006,-0.34802,0.70690,-0.35454,0.00023,0.00034,-0.00039,0.00034,-0.00039,0.00150,-0.28214,0.06335,-0.24579,0.32259,0.05152,0.00149,-0.28226,0.26397,-0.71729,0.45764,0.05143,0.02122,0.00128,0.02122,0.00128,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007049,-0.000000,0.004272,0.004028,0.004272,0.000000,0.012602,-0.012083,0.000000,0.004892,0.000000,0.000000,0.365745,0.634255,0.000000,0.000000,0.000000,-0.000196,0.000196
0.0050,0.00024,0.00003,0.48031,1.00000,0.00000,-0.00126,0.00000,0.00614,0.00001,0.31444,0.31436,0.00282,0.00414,2,0.03442,0.00282,0.034420,0.01412,-1.3110,-0.0001,-0.1900,0.3536,-1.0840,-0.0181,-2.0578,0,0.04900,0.01900,0.1022,0.0575,0.022161,0.040935,-0.6350,1.1725,20.7573,-0.5916,1.1883,21.6555,-0.6249,1.1722,37.0961,-0.5934,1.2025,38.8568,0.014472,-0.003925,20.7565,0.017889,-0.004064,21.6555,0.011548,-0.002225,37.0949,0.013458,-0.002312,38.8568,-0.00013,-0.00009,-0.34859,0.70743,-0.35494,-0.00001,0.00012,-0.00014,-0.34853,0.70730,-0.35487,0.00033,0.00033,-0.00037,0.00033,-0.00037,0.00136,-0.26666,0.01727,-0.35776,0.24122,0.04367,0.00130,-0.26763,0.20419,-0.79971,0.36882,0.04384,0.01349,0.00109,0.01399,0.00113,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006924,0.000327,0.004272,0.004140,0.004272,0.000113,0.012228,-0.011327,0.000000,0.004645,0.000000,0.000000,0.374145,0.625855,0.000000,0.000000,0.000000,-0.000137,0.000231
0.0100,0.00028,0.00006,0.48035,1.00000,0.00000,-0.00112,0.00000,0.00616,0.00002,0.31450,0.31436,0.00252,0.00425,2,0.03448,0.00252,0.034487,0.01289,-1.3651,-0.0001,-0.1782,0.3315,-0.8926,-0.0319,-1.8235,0,0.04900,0.01900,0.0902,0.0535,0.017571,0.041654,-0.5955,1.0992,21.9136,-0.5329,1.1110,22.7659,-0.5859,1.0988,37.2087,-0.5374,1.1260,38.8930,0.011291,-0.003280,21.9129,0.013300,-0.003344,22.7659,0.009870,-0.001966,37.2077,0.011067,-0.002013,38.8930,-0.00013,-0.00022,-0.34921,0.70811,-0.35541,0.00017,0.00013,-0.00026,-0.34910,0.70788,-0.35528,0.00047,0.00030,-0.00034,0.00031,-0.00034,0.00127,-0.25136,-0.00999,-0.44038,0.18928,0.03820,0.00117,-0.25272,0.16420,-0.85407,0.30940,0.03848,0.00863,0.00099,0.00947,0.00106,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006804,0.000643,0.004272,0.004253,0.004272,0.000225,0.011868,-0.010604,0.000000,0.004409,0.000000,0.000000,0.382178,0.617822,0.000000,0.000000,0.000000,-0.000008,0.000327
0.0150,0.00031,0.00010,0.48038,1.00000,0.00001,-0.00100,0.00000,0.00617,0.00004,0.31454,0.31436,0.00224,0.00437,2,0.03453,0.00224,0.034547,0.01144,-1.3737,-0.0002,-0.1669,0.3107,-0.7539,-0.0427,-1.6486,0,0.04900,0.01900,0.0805,0.0499,0.014657,0.042165,-0.5579,1.0301,22.8710,-0.4819,1.0380,23.6941,-0.5489,1.0297,37.1707,-0.4883,1.0535,38.7937,0.009271,-0.002806,22.8703,0.010385,-0.002831,23.6941,0.008718,-0.001762,37.1698,0.009435,-0.001789,38.7937,-0.00012,-0.00038,-0.34983,0.70884,-0.35589,0.00040,0.00013,-0.00042,-0.34967,0.70849,-0.35569,0.00066,0.00027,-0.00031,0.00029,-0.00031,0.00121,-0.23648,-0.02488,-0.50253,0.15700,0.03410,0.00108,-0.23794,0.13742,-0.88919,0.26969,0.03440,0.00564,0.00095,0.00671,0.00103,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006689,0.000948,0.004272,0.004365,0.004272,0.000338,0.011524,-0.009915,0.000000,0.004186,0.000000,0.000000,0.389842,0.610158,0.000000,0.000000,0.000000,0.000173,0.000472
0.0200,0.00034,0.00015,0.48041,1.00000,0.00001,-0.00088,0.00000,0.00619,0.00007,0.31458,0.31436,0.00199,0.00448,2,0.03458,0.00199,0.034600,0.00992,-1.3530,-0.0003,-0.1564,0.2911,-0.6531,-0.0511,-1.5130,0,0.04900,0.01900,0.0724,0.0466,0.012764,0.042552,-0.5226,0.9652,23.6797,-0.4361,0.9695,24.4913,-0.5141,0.9648,37.0305,-0.4430,0.9853,38.6113,0.007939,-0.002438,23.6790,0.008492,-0.002442,24.4913,0.007899,-0.001592,37.0297,0.008296,-0.001608,38.6113,-0.00012,-0.00058,-0.35042,0.70950,-0.35633,0.00065,0.00013,-0.00062,-0.35021,0.70904,-0.35605,0.00087,0.00023,-0.00028,0.00026,-0.00028,0.00115,-0.22214,-0.03193,-0.55050,0.13737,0.03085,0.00101,-0.22350,0.11921,-0.91131,0.24276,0.03111,0.00383,0.00092,0.00504,0.00101,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006580,0.001242,0.004272,0.004478,0.004272,0.000450,0.011197,-0.009257,0.000000,0.003975,0.000000,0.000000,0.397148,0.602852,0.000000,0.000000,0.000000,0.000396,0.000657
0.0250,0.00036,0.00021,0.48043,1.00000,0.00001,-0.00078,0.00000,0.00620,0.00011,0.31462,0.31436,0.00177,0.00459,2,0.03462,0.00177,0.034645,0.00844,-1.3149,-0.0003,-0.1465,0.2727,-0.5799,-0.0575,-1.4037,0,0.04900,0.01900,0.0654,0.0437,0.011505,0.042860,-0.4895,0.9041,24.3745,-0.3960,0.9055,25.1908,-0.4816,0.9038,36.8209,-0.4024,0.9213,38.3765,0.007019,-0.002140,24.3740,0.007232,-0.002132,25.1908,0.007289,-0.001446,36.8202,0.007482,-0.001455,38.3765,-0.00012,-0.00081,-0.35095,0.71005,-0.35668,0.00093,0.00013,-0.00084,-0.35069,0.70949,-0.35634,0.00112,0.00018,-0.00025,0.00022,-0.00025,0.00110,-0.20834,-0.03423,-0.58865,0.12559,0.02819,0.00093,-0.20947,0.10641,-0.92471,0.22386,0.02836,0.00274,0.00089,0.00400,0.00098,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006478,0.001526,0.004272,0.004590,0.004272,0.000563,0.010890,-0.008630,0.000000,0.003776,0.000000,0.000000,0.404114,0.595886,0.000000,0.000000,0.000000,0.000651,0.000874
0.0300,0.00038,0.00028,0.48045,1.00000,0.00002,-0.00068,0.00000,0.00620,0.00015,0.31465,0.31436,0.00156,0.00470,2,0.03466,0.00156,0.034683,0.00708,-1.2686,-0.0004,-0.1373,0.2554,-0.5273,-0.0624,-1.3127,0,0.04900,0.01900,0.0594,0.0410,0.010641,0.043113,-0.4587,0.8467,24.9803,-0.3616,0.8458,25.8152,-0.4514,0.8465,36.5639,-0.3676,0.8614,38.1107,0.006353,-0.001894,24.9798,0.006367,-0.001877,25.8152,0.006813,-0.001317,36.5633,0.006879,-0.001321,38.1107,-0.00011,-0.00107,-0.35140,0.71047,-0.35695,0.00123,0.00014,-0.00110,-0.35111,0.70981,-0.35655,0.00139,0.00013,-0.00022,0.00018,-0.00022,0.00104,-0.19508,-0.03374,-0.61977,0.11862,0.02596,0.00087,-0.19589,0.09701,-0.93216,0.20995,0.02601,0.00208,0.00086,0.00334,0.00094,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006382,0.001800,0.004272,0.004703,0.004272,0.000675,0.010601,-0.008032,0.000000,0.003588,0.000000,0.000000,0.410760,0.589240,0.000000,0.000000,0.000000,0.000931,0.001120
0.0350,0.00039,0.00035,0.48048,1.00000,0.00002,-0.00059,0.00000,0.00621,0.00020,0.31467,0.31436,0.00136,0.00482,2,0.03468,0.00136,0.034715,0.00587,-1.2202,-0.0004,-0.1287,0.2391,-0.4901,-0.0660,-1.2353,0,0.04900,0.01900,0.0541,0.0385,0.010026,0.043325,-0.4300,0.7927,25.5155,-0.3316,0.7899,26.3773,-0.4232,0.7926,36.2754,-0.3372,0.8055,37.8240,0.005849,-0.001686,25.5150,0.005751,-0.001663,26.3773,0.006425,-0.001202,36.2748,0.006414,-0.001203,37.8240,-0.00011,-0.00135,-0.35179,0.71074,-0.35712,0.00155,0.00014,-0.00138,-0.35147,0.71001,-0.35666,0.00168,0.00007,-0.00019,0.00014,-0.00019,0.00098,-0.18232,-0.03167,-0.64574,0.11453,0.02408,0.00081,-0.18277,0.08970,-0.93547,0.19914,0.02400,0.00169,0.00081,0.00291,0.00088,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006291,0.002066,0.004272,0.004815,0.004272,0.000788,0.010329,-0.007461,0.000000,0.003411,0.000000,0.000000,0.417104,0.582896,0.000000,0.000000,0.000000,0.001233,0.001391
0.0400,0.00040,0.00044,0.48050,1.00000,0.00003,-0.00051,-0.00000,0.00621,0.00026,0.31469,0.31436,0.00118,0.00493,2,0.03471,0.00118,0.034741,0.00482,-1.1733,-0.0004,-0.1206,0.2238,-0.4643,-0.0684,-1.1681,0,0.04900,0.01900,0.0495,0.0362,0.009570,0.043506,-0.4031,0.7419,25.9946,-0.3049,0.7375,26.8868,-0.3968,0.7419,35.9677,-0.3102,0.7530,37.5230,0.005450,-0.001508,25.9941,0.005293,-0.001480,26.8868,0.006093,-0.001099,35.9671,0.006041,-0.001097,37.5230,-0.00010,-0.00166,-0.35211,0.71087,-0.35719,0.00189,0.00015,-0.00168,-0.35176,0.71009,-0.35669,0.00199,0.00001,-0.00016,0.00009,-0.00016,0.00092,-0.17002,-0.02879,-0.66789,0.11204,0.02248,0.00074,-0.17011,0.08366,-0.93596,0.19018,0.02227,0.00145,0.00077,0.00260,0.00082,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006206,0.002323,0.004272,0.004928,0.004272,0.000900,0.010072,-0.006915,0.000000,0.003244,0.000000,0.000000,0.423166,0.576834,0.000000,0.000000,0.000000,0.001552,0.001682
0.0450,0.00041,0.00052,0.48052,1.00000,0.00003,-0.00043,-0.00000,0.00620,0.00032,0.31472,0.31436,0.00101,0.00504,2,0.03473,0.00101,0.034762,0.00392,-1.1300,-0.0005,-0.1131,0.2094,-0.4467,-0.0700,-1.1091,0,0.04900,0.01900,0.0453,0.0340,0.009215,0.043663,-0.3779,0.6942,26.4290,-0.2807,0.6884,27.3523,-0.3722,0.6943,35.6499,-0.2857,0.7039,37.2135,0.005118,-0.001352,26.4286,0.004937,-0.001321,27.3523,0.005799,-0.001005,35.6494,0.005726,-0.001001,37.2135,-0.00010,-0.00199,-0.35236,0.71088,-0.35717,0.00223,0.00016,-0.00201,-0.35201,0.71006,-0.35664,0.00232,-0.00005,-0.00014,0.00004,-0.00014,0.00085,-0.15817,-0.02557,-0.68718,0.11039,0.02110,0.00066,-0.15790,0.07837,-0.93452,0.18230,0.02076,0.00131,0.00071,0.00236,0.00076,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006125,0.002572,0.004272,0.005040,0.004272,0.001013,0.009830,-0.006394,0.000000,0.003087,0.000000,0.000000,0.428961,0.571039,0.000000,0.000000,0.000000,0.001887,0.001993
