t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r
0.0000,0.00020,0.00001,0.48033,1.00000,0.00000,-0.00125,0.00000,0.00608,-0.00000,0.31445,0.31445,0.00282,0.00625,2,0.03442,0.00282,0.034422,0.01259,-1.0021,0.0000,-0.1977,0.5849,-1.1491,-0.0000,-2.3167,0,0.04900,0.01900,0.0753,0.0753,0.002218,0.083855,-0.6607,1.9385,20.0058,0.0868,-1.4880,33.0016,-0.6503,1.9394,37.4158,0.0868,1.4880,33.0016,0.018769,-0.007180,20.0113,-0.001987,0.014036,33.0016,0.013678,-0.004024,37.4080,-0.001987,-0.014036,33.0016,-0.00071,-0.00028,-0.34814,0.70668,-0.35465,-0.00296,0.00071,0.00018,-0.34812,0.70665,-0.35463,0.00310,0.00033,-0.00039,0.00034,-0.00039,0.00217,-0.44083,0.06080,-0.26725,0.31914,0.08069,0.00207,-0.43654,0.26129,-0.73786,0.45408,0.07845,0.02106,0.00131,0.02107,0.00131,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006935,-0.000000,0.004194,0.006250,0.004194,0.000000,0.012416,-0.018749,0.000000,0.006824,0.000000,0.000000,0.365726,0.634274,0.000000,0.000000,0.000000,-0.003195,0.003195
0.0050,0.00024,0.00004,0.48038,1.00000,0.00000,-0.00110,0.00000,0.00610,0.00001,0.31452,0.31445,0.00249,0.00642,2,0.03448,0.00249,0.034483,0.01196,-1.1083,-0.0001,-0.1851,0.5487,-0.9209,-0.0241,-1.9877,0,0.04900,0.01900,0.1375,0.0883,0.021576,0.064284,-0.6186,1.8219,21.3065,-0.5932,1.7136,21.9848,-0.6086,1.8161,37.6280,-0.5942,1.9883,39.1704,0.014150,-0.005470,21.3114,0.017385,-0.005521,21.9848,0.011406,-0.003664,37.6209,0.013207,-0.003970,39.1704,-0.00069,-0.00043,-0.34863,0.70709,-0.35497,-0.00250,0.00069,0.00008,-0.34857,0.70697,-0.35491,0.00300,0.00032,-0.00037,0.00033,-0.00037,0.00256,-0.40608,0.01913,-0.36992,0.24431,0.06417,0.00160,-0.42493,0.20597,-0.81097,0.37174,0.06991,0.01391,0.00116,0.01463,0.00123,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006807,0.000506,0.004194,0.006424,0.004194,0.000175,0.012032,-0.017580,0.000000,0.006469,0.000000,0.000000,0.374097,0.625903,0.000000,0.000000,0.000000,-0.002957,0.003105
0.0100,0.00028,0.00009,0.48042,1.00000,0.00001,-0.00097,0.00000,0.00612,0.00003,0.31457,0.31445,0.00220,0.00660,2,0.03453,0.00220,0.034540,0.01093,-1.1560,-0.0001,-0.1730,0.5145,-0.7565,-0.0423,-1.7447,0,0.04900,0.01900,0.1222,0.0828,0.017387,0.065558,-0.5783,1.7105,22.3720,-0.5353,1.5992,23.0105,-0.5689,1.7005,37.6526,-0.5388,1.8663,39.1270,0.011232,-0.004356,22.3761,0.013196,-0.004249,23.0105,0.009848,-0.003372,37.6465,0.011012,-0.003620,39.1270,-0.00068,-0.00066,-0.34918,0.70766,-0.35537,-0.00190,0.00069,-0.00008,-0.34908,0.70744,-0.35525,0.00290,0.00031,-0.00034,0.00032,-0.00034,0.00278,-0.37564,-0.00585,-0.44649,0.19578,0.05297,0.00129,-0.40860,0.16827,-0.85924,0.31567,0.06393,0.00936,0.00110,0.01054,0.00120,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006684,0.000995,0.004194,0.006599,0.004194,0.000349,0.011663,-0.016461,0.000000,0.006132,0.000000,0.000000,0.382111,0.617889,0.000000,0.000000,0.000000,-0.002496,0.002996
0.0150,0.00031,0.00015,0.48044,1.00000,0.00001,-0.00086,0.00000,0.00613,0.00006,0.31461,0.31445,0.00195,0.00677,2,0.03458,0.00195,0.034591,0.00971,-1.1642,-0.0002,-0.1616,0.4822,-0.6374,-0.0564,-1.5598,0,0.04900,0.01900,0.1095,0.0777,0.014669,0.066401,-0.5402,1.6047,23.2632,-0.4845,1.4922,23.8805,-0.5313,1.5924,37.5508,-0.4895,1.7491,38.9733,0.009323,-0.003587,23.2666,0.010477,-0.003404,23.8805,0.008750,-0.003115,37.5455,0.009485,-0.003329,38.9733,-0.00067,-0.00096,-0.34974,0.70827,-0.35577,-0.00122,0.00069,-0.00029,-0.34959,0.70795,-0.35558,0.00285,0.00028,-0.00031,0.00030,-0.00031,0.00287,-0.34856,-0.01990,-0.50486,0.16474,0.04489,0.00109,-0.38967,0.14233,-0.89054,0.27716,0.05932,0.00649,0.00106,0.00797,0.00118,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006566,0.001468,0.004194,0.006773,0.004194,0.000524,0.011310,-0.015393,0.000000,0.005812,0.000000,0.000000,0.389762,0.610238,0.000000,0.000000,0.000000,-0.001896,0.002903
0.0200,0.00033,0.00023,0.48047,1.00000,0.00001,-0.00075,0.00000,0.00614,0.00011,0.31464,0.31445,0.00172,0.00695,2,0.03462,0.00172,0.034636,0.00842,-1.1472,-0.0002,-0.1509,0.4519,-0.5512,-0.0671,-1.4150,0,0.04900,0.01900,0.0988,0.0730,0.012862,0.066990,-0.5043,1.5047,24.0226,-0.4398,1.3928,24.6360,-0.4960,1.4911,37.3635,-0.4453,1.6376,38.7521,0.008026,-0.003028,24.0253,0.008670,-0.002813,24.6360,0.007949,-0.002877,37.3589,0.008399,-0.003069,38.7521,-0.00066,-0.00130,-0.35026,0.70883,-0.35613,-0.00049,0.00069,-0.00056,-0.35007,0.70841,-0.35587,0.00286,0.00025,-0.00028,0.00028,-0.00028,0.00286,-0.32412,-0.02697,-0.55052,0.14506,0.03876,0.00094,-0.36938,0.12409,-0.91030,0.25013,0.05547,0.00471,0.00103,0.00633,0.00115,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006455,0.001924,0.004194,0.006948,0.004194,0.000698,0.010976,-0.014374,0.000000,0.005509,0.000000,0.000000,0.397060,0.602940,0.000000,0.000000,0.000000,-0.001216,0.002853
0.0250,0.00035,0.00033,0.48049,1.00000,0.00002,-0.00066,-0.00000,0.00615,0.00017,0.31467,0.31445,0.00151,0.00712,2,0.03465,0.00151,0.034674,0.00718,-1.1157,-0.0003,-0.1408,0.4233,-0.4889,-0.0752,-1.2980,0,0.04900,0.01900,0.0896,0.0687,0.011630,0.067424,-0.4707,1.4103,24.6803,-0.4007,1.2993,25.3037,-0.4630,1.3963,37.1184,-0.4059,1.5329,38.4879,0.007107,-0.002606,24.6823,0.007436,-0.002376,25.3037,0.007339,-0.002654,37.1146,0.007604,-0.002831,38.4879,-0.00065,-0.00168,-0.35073,0.70929,-0.35642,0.00024,0.00069,-0.00087,-0.35050,0.70878,-0.35610,0.00294,0.00021,-0.00024,0.00025,-0.00024,0.00277,-0.30176,-0.02973,-0.58720,0.13259,0.03393,0.00083,-0.34850,0.11083,-0.92222,0.23050,0.05212,0.00360,0.00099,0.00526,0.00111,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006350,0.002364,0.004194,0.007122,0.004194,0.000873,0.010661,-0.013402,0.000000,0.005224,0.000000,0.000000,0.404021,0.595979,0.000000,0.000000,0.000000,-0.000494,0.002861
0.0300,0.00036,0.00043,0.48051,1.00000,0.00002,-0.00057,-0.00000,0.00615,0.00023,0.31469,0.31445,0.00132,0.00730,2,0.03468,0.00132,0.034706,0.00604,-1.0773,-0.0003,-0.1315,0.3965,-0.4445,-0.0813,-1.2011,0,0.04900,0.01900,0.0814,0.0647,0.010762,0.067762,-0.4393,1.3214,25.2581,-0.3666,1.2108,25.9019,-0.4322,1.3074,36.8352,-0.3715,1.4362,38.1975,0.006427,-0.002274,25.2596,0.006567,-0.002035,25.9019,0.006853,-0.002444,36.8320,0.007003,-0.002612,38.1975,-0.00064,-0.00211,-0.35114,0.70963,-0.35663,0.00098,0.00070,-0.00124,-0.35089,0.70906,-0.35626,0.00308,0.00017,-0.00021,0.00022,-0.00021,0.00266,-0.28098,-0.02990,-0.61742,0.12461,0.03001,0.00075,-0.32759,0.10076,-0.92878,0.21557,0.04913,0.00291,0.00095,0.00454,0.00106,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006251,0.002790,0.004194,0.007297,0.004194,0.001047,0.010365,-0.012475,0.000000,0.004954,0.000000,0.000000,0.410661,0.589339,0.000000,0.000000,0.000000,0.000242,0.002937
0.0350,0.00037,0.00055,0.48052,1.00000,0.00003,-0.00049,-0.00001,0.00615,0.00031,0.31472,0.31445,0.00115,0.00747,2,0.03470,0.00115,0.034734,0.00501,-1.0370,-0.0003,-0.1227,0.3713,-0.4132,-0.0856,-1.1193,0,0.04900,0.01900,0.0742,0.0611,0.010127,0.068036,-0.4100,1.2377,25.7728,-0.3362,1.1272,26.4426,-0.4034,1.2239,36.5280,-0.3409,1.3464,37.8905,0.005902,-0.002003,25.7738,0.005931,-0.001759,26.4426,0.006451,-0.002249,36.5253,0.006529,-0.002410,37.8905,-0.00063,-0.00257,-0.35148,0.70986,-0.35675,0.00170,0.00071,-0.00165,-0.35122,0.70923,-0.35634,0.00330,0.00012,-0.00019,0.00019,-0.00019,0.00251,-0.26138,-0.02856,-0.64290,0.11939,0.02676,0.00069,-0.30701,0.09271,-0.93164,0.20363,0.04647,0.00249,0.00090,0.00403,0.00100,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006158,0.003201,0.004194,0.007471,0.004194,0.001222,0.010085,-0.011589,0.000000,0.004700,0.000000,0.000000,0.417001,0.582999,0.000000,0.000000,0.000000,0.000977,0.003083
0.0400,0.00038,0.00068,0.48054,1.00000,0.00003,-0.00042,-0.00001,0.00615,0.00040,0.31474,0.31445,0.00098,0.00765,2,0.03472,0.00098,0.034756,0.00412,-0.9978,-0.0004,-0.1145,0.3476,-0.3915,-0.0886,-1.0491,0,0.04900,0.01900,0.0676,0.0577,0.009644,0.068265,-0.3825,1.1589,26.2372,-0.3089,1.0483,26.9351,-0.3765,1.1455,36.2073,-0.3133,1.2628,37.5736,0.005478,-0.001774,26.2379,0.005446,-0.001528,26.9351,0.006103,-0.002068,36.2050,0.006140,-0.002225,37.5736,-0.00061,-0.00306,-0.35177,0.70996,-0.35680,0.00242,0.00072,-0.00210,-0.35150,0.70930,-0.35634,0.00358,0.00008,-0.00016,0.00016,-0.00016,0.00235,-0.24272,-0.02641,-0.66485,0.11578,0.02401,0.00061,-0.28696,0.08593,-0.93199,0.19355,0.04411,0.00222,0.00084,0.00364,0.00093,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006070,0.003599,0.004194,0.007646,0.004194,0.001396,0.009820,-0.010744,0.000000,0.004460,0.000000,0.000000,0.423059,0.576941,0.000000,0.000000,0.000000,0.001704,0.003298
0.0450,0.00038,0.00081,0.48056,1.00000,0.00004,-0.00035,-0.00002,0.00615,0.00049,0.31475,0.31445,0.00084,0.00782,2,0.03474,0.00084,0.034774,0.00335,-0.9613,-0.0004,-0.1068,0.3253,-0.3768,-0.0904,-0.9883,0,0.04900,0.01900,0.0617,0.0546,0.009260,0.068462,-0.3567,1.0848,26.6613,-0.2840,0.9739,27.3873,-0.3513,1.0718,35.8809,-0.2881,1.1847,37.2521,0.005123,-0.001575,26.6617,0.005061,-0.001328,27.3873,0.005792,-0.001902,35.8790,0.005808,-0.002057,37.2521,-0.00060,-0.00358,-0.35201,0.70996,-0.35676,0.00313,0.00073,-0.00259,-0.35174,0.70928,-0.35628,0.00391,0.00003,-0.00014,0.00012,-0.00014,0.00217,-0.22482,-0.02389,-0.68414,0.11306,0.02166,0.00052,-0.26754,0.07995,-0.93064,0.18463,0.04199,0.00205,0.00079,0.00332,0.00085,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005986,0.003985,0.004194,0.007821,0.004194,0.001571,0.009570,-0.009935,0.000000,0.004233,0.000000,0.000000,0.428849,0.571151,0.000000,0.000000,0.000000,0.002420,0.003577
