cell,stance,budget_ns,timing off safe,timing off fail,timing off speckle,timing on safe,timing on fail,timing on speckle,timing cut safe,timing cut fail,timing cut speckle,timing wide safe,timing wide fail,timing wide speckle,timing cut+wide safe,timing cut+wide fail,timing cut+wide speckle
fwd ds,DS,1.81,1.500,1.550,0/0,1.500,1.550,0/0,1.500,1.550,0/0,1.500,1.550,0/0,1.500,1.550,0/0
back ds,DS,1.81,0.750,0.800,0/0,0.750,0.800,0/0,0.750,0.800,0/0,0.750,0.800,0/0,0.750,0.800,0/0
left ds,DS,0.70,0.000,0.700,4/5,0.000,0.700,4/5,0.000,0.700,4/5,0.000,0.700,4/5,0.000,0.700,4/5
right ds,DS,0.70,0.900,0.950,0/0,1.000,1.150,1/2,1.000,1.150,1/2,1.000,1.150,1/2,1.000,1.150,1/2
diag ds,DS,1.00,0.700,0.750,0/0,0.700,0.750,0/0,0.700,0.750,0/0,0.700,0.750,0/0,0.700,0.750,0/0
fwd ss,SS/R,1.81,1.350,1.600,2/4,1.350,1.600,2/4,1.350,1.600,2/4,1.350,1.600,2/4,1.350,1.600,2/4
back ss,SS/R,1.81,1.000,1.050,0/0,0.950,1.000,0/0,1.000,1.050,0/0,1.000,1.050,0/0,0.950,1.000,0/0
left ss,SS/R,0.70,0.600,,1/4,0.750,0.800,0/0,0.750,0.800,0/0,0.750,0.800,0/0,0.750,0.800,0/0
right ss,SS/R,0.70,0.650,0.700,0/0,0.450,,6/7,0.450,,6/7,0.450,,6/7,0.450,,6/7
diag ss,SS/R,1.00,0.700,,3/4,0.900,,0/0,0.900,,0/0,0.900,,0/0,0.900,,0/0
left ds (mirror),DS,0.70,0.950,1.000,0/0,1.150,,0/0,1.150,,0/0,1.150,,0/0,1.150,,0/0
left ss (mirror),SS/L,0.70,0.000,,6/9,0.000,,7/9,0.000,,7/9,0.000,,7/9,0.000,,7/9
right ds (mirror),DS,0.70,0.400,,4/5,0.400,,4/5,0.400,,4/5,0.400,,4/5,0.400,,4/5
right ss (mirror),SS/L,0.70,0.550,0.600,0/0,0.750,,0/0,0.750,,0/0,0.750,,0/0,0.750,,0/0
